Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-01-04,MDB,BUY,30,364.42560867309567,10932.76826019287,P1,110000.0,,,,,,
2021-01-04,CRWD,BUY,51,214.99730743408202,10964.862679138183,P1,110000.0,,,,,,
2021-01-04,PANW,BUY,185,60.12014156341552,11122.226189231871,P1,110000.0,,,,,,
2021-01-04,TSLA,BUY,46,238.7516775512695,10982.577167358397,P1,110000.0,,,,,,
2021-01-04,FTNT,BUY,370,30.151589365005492,11156.088065052032,P1,110000.0,,,,,,
2021-01-04,FANG,BUY,280,39.7715993309021,11136.047812652587,P1,110000.0,,,,,,
2021-01-04,ON,BUY,336,33.22094953536987,11162.239043884276,P1,110000.0,,,,,,
2021-01-04,CPRT,BUY,345,32.2896875,11139.942187499999,P1,110000.0,,,,,,
2021-01-04,AVGO,BUY,279,39.98016017913818,11154.464689979553,P1,110000.0,,,,,,
2021-01-04,TSM,BUY,100,101.77239715576171,10177.23971557617,P1,110000.0,,,,,,
2021-05-10,MDB,SELL,30,257.71680725097656,7731.5042175292965,N2,126948.85928571702,2021-01-04,364.42560867309567,P1,126.0,-3201.2640426635735,-29.28136741285961
2021-05-10,MRNA,BUY,47,165.59724380493162,7783.070458831786,P1,119139.25906599045,,,,,,
2021-08-23,TSM,SELL,100,99.17802658081055,9917.802658081055,N2,147738.46238035202,2021-01-04,101.77239715576171,P1,231.0,-259.43705749511537,-2.5491888247267025
2021-08-23,AMD,BUY,93,106.21975154876708,9878.436894035338,P1,137720.47989744187,,,,,,
2021-11-08,MRNA,SELL,47,234.62010543823243,11027.144955596925,N2,181779.77319841387,2021-05-10,165.59724380493162,P1,182.0,3244.074496765139,41.68116572918786
2021-11-08,NVDA,BUY,367,30.136206235885616,11059.987688570021,P1,170641.24294023516,,,,,,
2021-12-06,CRWD,SELL,51,195.07950302124024,9949.054654083253,N2,171638.08798192025,2021-01-04,214.99730743408202,P1,336.0,-1015.8080250549301,-9.264211096666198
2021-12-06,MRNA,BUY,32,311.32080123901363,9962.265639648436,P1,161588.5378262806,,,,,,
2021-12-27,MRNA,SELL,32,247.49010543823243,7919.683374023438,N2,176630.05750844002,2021-12-06,311.32080123901363,P1,21.0,-2042.5822656249984,-20.5031901327325
2021-12-27,MRVL,BUY,90,87.5055031967163,7875.495287704467,P1,168630.37733265877,,,,,,
2022-01-24,CPRT,SELL,345,31.355775604248045,10817.742583465575,N2,158061.4596008015,2021-01-04,32.2896875,P1,385.0,-322.1996040344238,-2.8922915272932053
2022-01-24,PCAR,BUY,204,53.110038394927976,10834.447832565307,P1,147134.4468902302,,,,,,
2022-03-14,MRVL,SELL,90,61.457430610656736,5531.168754959106,N2,152508.91037205697,2021-12-27,87.5055031967163,P1,77.0,-2344.326532745361,-29.767353634322095
2022-03-14,TSLA,SELL,46,262.46550201416017,12073.413092651368,N2,158995.284318285,2021-01-04,238.7516775512695,P1,434.0,1090.8359252929713,9.932422132530725
2022-03-14,NVDA,SELL,367,21.840422916412354,8015.435210323334,N2,154815.35276835444,2021-11-08,30.136206235885616,P1,126.0,-3044.5524782466873,-27.52762990317873
2022-03-14,AMD,SELL,93,103.24710090637207,9601.980384292603,N2,156320.93395030024,2021-08-23,106.21975154876708,P1,203.0,-276.45650974273485,-2.7985855728820925
2022-03-14,FTNT,SELL,370,55.26774021148682,20449.063878250123,N2,167071.0277434063,2021-01-04,30.151589365005492,P1,434.0,9292.97581319809,83.29959174766293
2022-03-14,COST,BUY,29,511.15580276489254,14823.518280181885,P1,146415.40766436578,,,,,,
2022-03-14,VRTX,BUY,61,240.02719566345212,14641.65893547058,P1,146415.40766436578,,,,,,
2022-03-21,NVDA,BUY,576,26.802450227737424,15438.211331176757,P1,152292.22200678827,,,,,,
2022-03-21,CTAS,BUY,110,98.16573677062988,10798.231044769287,P1,152292.22200678827,,,,,,
2022-04-11,NVDA,SELL,576,22.847453269958496,13160.133083496094,N2,166047.4032615185,2022-03-21,26.802450227737424,P1,21.0,-2278.0782476806635,-14.756102237570678
2022-04-11,TSLA,BUY,37,346.95743637084956,12837.425145721434,P1,152754.3395408154,,,,,,
2022-04-11,FTNT,BUY,4,68.17349037170409,272.69396148681636,P1,152754.33954081536,,,,,,
2022-05-02,FTNT,SELL,4,57.223978157043454,228.89591262817382,N2,141530.5352877331,2022-04-11,68.17349037170409,P1,21.0,-43.798048858642545,-16.061246321642514
2022-05-09,CTAS,SELL,110,91.81867057800292,10100.053763580321,N2,153015.32501704217,2022-03-21,98.16573677062988,P1,49.0,-698.1772811889659,-6.46566348038243
2022-05-16,TSLA,SELL,37,253.9646987915039,9396.693855285645,N2,149042.90419108392,2022-04-11,346.95743637084956,P1,35.0,-3440.7312904357896,-26.802347444125473
2022-05-23,PCAR,SELL,204,45.49835597991943,9281.664619903564,N2,144643.93269495966,2022-01-24,53.110038394927976,P1,119.0,-1552.7832126617432,-14.331909079801122
2022-05-23,PANW,SELL,185,78.9821987915039,14611.706776428222,N2,149880.2206634045,2021-01-04,60.12014156341552,P1,504.0,3489.480587196351,31.3739401431589
2022-05-23,COST,SELL,29,394.28831634521487,11434.361174011232,N2,146555.2820632458,2022-03-14,511.15580276489254,P1,70.0,-3389.1571061706527,-22.86337859954437
2022-05-30,KLAC,BUY,40,363.3900410461425,14535.6016418457,P1,143872.23764491084,,,,,,
2022-05-30,TMUS,BUY,111,131.50790443420408,14597.377392196653,P1,143872.23764491084,,,,,,
2022-06-06,BKNG,BUY,6,2332.7383703613277,13996.430222167966,P1,143669.0857097149,,,,,,
2022-06-13,BKNG,SELL,6,2050.3610595703126,12302.166357421876,N2,150431.8949727154,2022-06-06,2332.7383703613277,P1,7.0,-1694.26386474609,-12.104971323778429
2022-06-13,KLAC,SELL,40,318.5344940185547,12741.379760742188,N2,150746.8440693951,2022-05-30,363.3900410461425,P1,14.0,-1794.2218811035127,-12.34363685324336
2022-06-20,ON,SELL,336,51.93539909362793,17450.294095458983,N2,143921.85863909725,2021-01-04,33.22094953536987,P1,532.0,6288.055051574707,56.33327710375362
2022-06-20,AVGO,SELL,279,46.038315811157226,12844.690111312866,N2,139139.9890580273,2021-01-04,39.98016017913818,P1,532.0,1690.2254213333126,15.152904852993093
2022-07-18,FANG,SELL,280,91.8629393005371,25721.62300415039,N2,151620.2735917187,2021-01-04,39.7715993309021,P1,560.0,14585.575191497805,130.97622636754417
2022-07-18,COST,BUY,25,507.648217010498,12691.20542526245,P1,125638.83621378902,,,,,,
2022-07-25,QCOM,BUY,87,144.00784873962402,12528.68284034729,P1,124323.21093531612,,,,,,
2022-07-25,ON,BUY,209,60.31129814147948,12605.061311569212,P1,124323.21093531612,,,,,,
2022-08-01,QCOM,SELL,87,132.56507263183593,11533.161318969725,N2,137770.41337306026,2022-07-25,144.00784873962402,P1,7.0,-995.5215213775646,-7.945939202575976
2022-08-01,KLAC,BUY,34,375.3996766662597,12763.58900665283,P1,126120.75547511104,,,,,,
2022-08-01,CTAS,BUY,122,104.5954898071289,12760.649756469726,P1,126120.75547511103,,,,,,
2022-08-01,PCAR,BUY,239,53.49155006408691,12784.48046531677,P1,126120.75547511103,,,,,,
2022-08-01,FANG,BUY,115,110.4752601623535,12704.654918670652,P1,126120.75547511103,,,,,,
2022-08-08,CPRT,BUY,389,32.78957530975342,12755.14479549408,P1,125795.68901385312,,,,,,
2022-08-15,CRWD,BUY,14,203.8830450439453,2854.362630615234,P1,128357.85212546353,,,,,,
2022-09-05,CRWD,SELL,14,170.72549697875976,2390.1569577026366,N2,123557.67509902005,2022-08-15,203.8830450439453,P1,21.0,-464.2056729125975,-16.26302376347121
2022-09-05,CPRT,SELL,389,28.80900037765503,11206.701146907806,N2,132350.07628865246,2022-08-08,32.78957530975342,P1,28.0,-1548.4436485862734,-12.13975751285302
2022-09-05,KLAC,SELL,34,321.17255035400393,10919.866712036133,N2,131950.04285229687,2022-08-01,375.3996766662597,P1,35.0,-1843.7222946166967,-14.445171288856795
2022-09-05,PANW,BUY,134,91.21466873168944,12222.765610046385,P1,120919.87445630078,,,,,,
2022-09-26,COST,SELL,25,442.36355987548825,11059.088996887207,N2,124846.59527737621,2022-07-18,507.648217010498,P1,70.0,-1632.1164283752423,-12.86021598174147
2022-09-26,PANW,SELL,134,79.97715362548828,10716.938585815431,N2,124392.73689663892,2022-09-05,91.21466873168944,P1,21.0,-1505.8270242309536,-12.319855197037024
2022-09-26,FANG,SELL,115,99.23715225219726,11412.272509002685,N2,124979.81891491896,2022-08-01,110.4752601623535,P1,56.0,-1292.3824096679673,-10.172510925650512
2022-10-10,FANG,BUY,93,125.79232662200927,11698.686375846863,P1,115839.5604768086,,,,,,
2022-10-24,NFLX,BUY,404,29.3913557434082,11874.107720336913,P1,117203.69730500225,,,,,,
2022-10-31,ISRG,BUY,49,247.822403717041,12143.297782135009,P1,121848.14759858136,,,,,,
2022-10-31,MRNA,BUY,64,153.23455123901365,9807.011279296874,P1,121848.14759858136,,,,,,
2022-11-14,LRCX,BUY,1,49.08111827850341,49.08111827850341,P1,126241.21164124494,,,,,,
2022-12-26,LRCX,SELL,1,39.54049667358398,39.54049667358398,N2,122524.77447804456,2022-11-14,49.08111827850341,P1,42.0,-9.54062160491943,-19.43847642342338
2022-12-26,AVGO,BUY,1,53.610809001922604,53.610809001922604,P1,122484.83458241468,,,,,,
2023-02-27,MRNA,SELL,64,137.86739456176758,8823.513251953125,N2,131052.68850623137,2022-10-31,153.23455123901365,P1,119.0,-983.4980273437486,-10.028519386124962
2023-02-27,PANW,BUY,93,94.71472747802733,8808.469655456542,P1,122140.04885779387,,,,,,
2023-03-20,FANG,SELL,93,109.75321334838867,10207.048841400147,N2,130624.8371120358,2022-10-10,125.79232662200927,P1,161.0,-1491.637534446716,-12.750470322260751
2023-03-20,AMD,BUY,103,99.30759628295897,10228.682417144773,P1,120314.68676718717,,,,,,
2023-05-29,TMUS,SELL,111,129.26352172851563,14348.250911865234,N2,149794.1569609738,2022-05-30,131.50790443420408,P1,364.0,-249.12648033141886,-1.7066523227973462
2023-05-29,PLTR,BUY,991,13.854749612808225,13730.05686629295,P1,135300.974221716,,,,,,
2023-10-23,ISRG,SELL,49,264.2409036254883,12947.804277648926,N2,153032.08251869207,2022-10-31,247.822403717041,P1,357.0,804.5064955139169,6.625107198618581
2023-10-23,CRWD,BUY,74,181.44139442443847,13426.663187408447,P1,139953.4923392487,,,,,,
2023-11-06,ON,SELL,209,67.5675,14121.607499999998,N2,158842.9766680146,2022-07-25,60.31129814147948,P1,469.0,1516.546188430786,12.03124801177179
2023-11-06,DASH,BUY,152,93.87734783172607,14269.356870422362,P1,144578.7266680146,,,,,,
2024-07-29,AMD,SELL,103,138.59010543823243,14274.78086013794,N2,206864.76030738838,2023-03-20,99.30759628295897,P1,497.0,4046.098442993167,39.55639913319933
2024-07-29,CRWD,SELL,74,253.5984036254883,18766.281868286133,N2,211212.0716098786,2023-10-23,181.44139442443847,P1,280.0,5339.618680877686,39.76876910031669
2024-07-29,TSLA,BUY,87,223.09700309753416,19409.439269485472,P1,192256.2313388825,,,,,,
2024-07-29,MRNA,BUY,110,123.94165061950683,13633.581568145752,P1,192256.2313388825,,,,,,
2024-08-05,PCAR,SELL,239,87.98316078186035,21027.975426864625,N2,204315.64687133796,2022-08-01,53.49155006408691,P1,735.0,8243.494961547854,64.48048463065643
2024-08-05,MRNA,SELL,110,85.71420181274414,9428.562199401855,N2,192503.82985168463,2024-07-29,123.94165061950683,P1,7.0,-4205.019368743897,-30.843101262317855
2024-08-05,TMUS,BUY,99,187.3596671295166,18548.607045822144,P1,182980.0296502686,,,,,,
2024-08-05,ISRG,BUY,26,456.475961151123,11868.374989929198,P1,182980.0296502686,,,,,,
2024-12-23,VRTX,SELL,61,393.29728912353517,23991.134636535644,N2,302768.9120121766,2022-03-14,240.02719566345212,P1,1015.0,9349.475701065065,63.855303161141244
2024-12-23,MRVL,BUY,212,113.14290306091307,23986.29544891357,P1,278535.4426823426,,,,,,
2025-03-10,TSLA,SELL,87,260.043313293457,22623.76825653076,N2,288767.1681907654,2024-07-29,223.09700309753416,P1,224.0,3214.3289870452863,16.560648365039015
2025-03-10,MRVL,SELL,212,69.89809982299805,14818.397162475587,N2,280733.27418502816,2024-12-23,113.14290306091307,P1,77.0,-9167.898286437983,-38.2214014913805
2025-03-10,FTNT,BUY,262,102.79919876098631,26933.390075378415,P1,265765.1962431336,,,,,,
2025-03-10,META,BUY,16,633.0486358642578,10128.778173828125,P1,265765.1962431336,,,,,,
2025-03-31,AVGO,SELL,1,166.4314988708496,166.4314988708496,N2,265249.7148410035,2022-12-26,53.610809001922604,P1,826.0,112.82068986892699,210.44392347237473
2025-04-07,ISRG,SELL,26,447.06418670654296,11623.668854370117,N2,248560.61282135017,2024-08-05,456.475961151123,P1,245.0,-244.7061355590813,-2.0618335346391103
2025-04-07,PANW,SELL,93,152.03430725097655,14139.190574340819,N2,250958.72374481207,2023-02-27,94.71472747802733,P1,770.0,5330.720918884277,60.518127749717344
2025-04-07,META,SELL,16,498.55515380859373,7976.8824609375,N2,244653.5955245972,2025-03-10,633.0486358642578,P1,28.0,-2151.895712890625,-21.245363221113234
2025-04-14,CPRT,BUY,438,60.7376001548767,26603.068867835995,P1,262510.3454254151,,,,,,
2025-04-14,COST,BUY,7,973.859851989746,6817.018963928222,P1,262510.3454254151,,,,,,
2025-04-14,CRWD,BUY,2,383.5684938049316,767.1369876098632,P1,262510.34542541514,,,,,,
2025-05-19,ALAB,BUY,1,91.91839752197265,91.91839752197265,P1,321309.85018215183,,,,,,
2025-06-02,CPRT,SELL,438,50.96519954681396,22322.757401504517,N2,342259.321952858,2025-04-14,60.7376001548767,P1,49.0,-4280.311466331477,-16.089540224084892
2025-06-02,CEG,BUY,72,310.01234085083007,22320.888541259766,P1,319711.0821533585,,,,,,
2025-06-23,TMUS,SELL,99,217.45721008300782,21528.263798217773,N2,345168.4101233292,2024-08-05,187.3596671295166,P1,322.0,2979.656752395629,16.064045914794242
2025-06-23,MU,BUY,172,125.20700107574461,21535.604185028074,P1,323422.6891150284,,,,,,
2025-08-11,FTNT,SELL,262,73.64609939575195,19295.27804168701,N2,392379.22912158974,2025-03-10,102.79919876098631,P1,154.0,-7638.112033691406,-28.35926711162108
2025-08-11,AMD,BUY,110,175.35139442443847,19288.65338668823,P1,372889.0492815018,,,,,,
2025-09-29,COST,SELL,7,905.5094458007812,6338.566120605468,N2,371983.2220709611,2025-04-14,973.859851989746,P1,168.0,-478.4528433227533,-7.0185053885643125
2025-09-29,MRVL,BUY,75,84.30103439331054,6322.577579498291,P1,365580.63002994546,,,,,,
2025-10-13,CTAS,SELL,122,185.63478881835937,22647.444235839845,N2,398160.37147266394,2022-08-01,104.5954898071289,P1,1169.0,9886.794479370119,77.47877003173333
2025-10-13,AMAT,BUY,106,212.68234977722165,22544.329076385493,P1,375284.1651738358,,,,,,
2025-11-10,DASH,SELL,152,202.26689758300782,30744.568432617187,N2,407665.11079837807,2023-11-06,93.87734783172607,P1,735.0,16475.211562194825,115.45868332962348
2025-11-10,ISRG,BUY,54,568.4,30693.6,P1,376609.99116947176,,,,,,
2025-11-24,NFLX,SELL,404,103.26689758300782,41719.82662353516,N2,380961.4568906022,2022-10-24,29.3913557434082,P1,1127.0,29845.71890319825,251.3512560786455
2025-11-24,GOOGL,BUY,113,303.95607299804686,34347.036248779295,P1,338820.2178769303,,,,,,
