Ticker,Total_Trades,CAGR_%,Total_Return_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Max_Win_%,Std_Dev_%,Qualified,Qualification_Reason,Reason
NVDA,3,64.14582742711798,1103.0627300992967,66.66666666666666,290.9406064318151,-14.756122485110174,516.5946037979337,286.478428305072,True,"Std Dev 286.5% ≥30%, Max Win 516.6% ≥150%, Avg Win 290.9% ≥40%",
SMCI,5,48.10105868402681,617.9112845231773,40.0,555.0065298323817,-17.730026749331078,1101.2313294565583,497.62738849038317,True,"Std Dev 497.6% ≥30%, Max Win 1101.2% ≥150%, Avg Win 555.0% ≥40%",
AVGO,2,46.50867053055061,579.9959350593568,100.0,120.74520889824026,0.0,226.3374983793179,149.3300478661659,True,"Std Dev 149.3% ≥30%, Max Win 226.3% ≥150%, Avg Win 120.7% ≥40%",
GE,2,39.9146997455476,439.6619377321244,100.0,118.42848897990388,0.0,226.15382442401665,152.34663039625536,True,"Std Dev 152.3% ≥30%, Max Win 226.2% ≥150%, Avg Win 118.4% ≥40%",
HWM,3,37.02233523789526,385.94534613256457,33.33333333333333,1.533288532595056,-10.213126304749744,1.533288532595056,6.9803920604954985,False,Does not meet criteria,
TRGP,3,36.67610268592767,379.81343569107065,66.66666666666666,133.65280613688657,-15.673095150214579,144.97446147649893,86.95355931777989,True,"Std Dev 87.0% ≥30%, Avg Win 133.7% ≥40%",
STX,4,33.87617050753198,332.46703272533426,50.0,43.218257800829065,-15.722110497651562,45.07236436586021,34.18964052441127,True,"Std Dev 34.2% ≥30%, Avg Win 43.2% ≥40%",
AXON,4,31.416462437412097,294.031179044342,75.0,77.93746506303448,-12.789968429344093,178.21326214476832,84.3845537085524,True,"Std Dev 84.4% ≥30%, Max Win 178.2% ≥150%, Avg Win 77.9% ≥40%",
GOOGL,2,30.864556187032875,285.79514752464297,100.0,47.43601365911656,0.0,53.81788034660984,9.025322422710053,True,Avg Win 47.4% ≥40%,
VST,6,30.718768644195315,283.64276222867966,50.0,113.00269238013134,-11.12766167145633,305.901009828007,125.7918552568855,True,"Std Dev 125.8% ≥30%, Max Win 305.9% ≥150%, Avg Win 113.0% ≥40%",
LLY,3,30.383317450914404,278.7267168426515,33.33333333333333,350.8844040035174,-18.43999714121322,350.8844040035174,213.2302778527063,True,"Std Dev 213.2% ≥30%, Max Win 350.9% ≥150%, Avg Win 350.9% ≥40%",
MPC,2,30.380411622326587,278.6843533634187,100.0,105.55203745400084,0.0,170.74744038509778,92.2002230295359,True,"Std Dev 92.2% ≥30%, Max Win 170.7% ≥150%, Avg Win 105.6% ≥40%",
PWR,3,30.35384029875847,278.2971514480592,100.0,42.04261820848999,0.0,48.98409062398947,7.9198887581936255,True,Avg Win 42.0% ≥40%,
GOOG,3,29.351295882254202,263.91784997825636,66.66666666666666,52.80393384717007,-11.784871801968803,60.32188916863957,38.040648311287,True,"Std Dev 38.0% ≥30%, Avg Win 52.8% ≥40%",
DECK,2,28.373561259769886,250.31926058158876,100.0,105.42808616764998,0.0,189.74275235193613,119.23894442477766,True,"Std Dev 119.2% ≥30%, Max Win 189.7% ≥150%, Avg Win 105.4% ≥40%",
TPR,4,27.823658043798428,242.85179385852817,25.0,20.05532189775878,-7.726284313213527,20.05532189775878,14.771419374931401,False,Does not meet criteria,
MCK,2,27.6940656784316,241.1106809921266,100.0,62.809511043957656,0.0,91.70659093879082,40.866642300251954,True,"Std Dev 40.9% ≥30%, Avg Win 62.8% ≥40%",
NFLX,2,27.061173993211906,232.70901302452089,50.0,251.3512560786455,-5.175974114170623,251.3512560786455,181.39214402834273,True,"Std Dev 181.4% ≥30%, Max Win 251.4% ≥150%, Avg Win 251.4% ≥40%",
DVN,2,26.764221573818702,228.8245050248624,50.0,277.49703333222243,-11.680504591104006,277.49703333222243,204.47939803241414,True,"Std Dev 204.5% ≥30%, Max Win 277.5% ≥150%, Avg Win 277.5% ≥40%",
CAH,2,25.670014348343308,214.82312432899474,50.0,83.82197557680985,-9.573038393517317,83.82197557680985,66.04024770743068,True,"Std Dev 66.0% ≥30%, Avg Win 83.8% ≥40%",
ANET,5,24.759927305828853,203.5450558709147,40.0,97.00828790681857,-13.72691094548619,148.1324302477591,70.6162078819951,True,"Std Dev 70.6% ≥30%, Avg Win 97.0% ≥40%",
COR,1,24.492977015040985,200.29905856552128,100.0,28.361282870560835,0.0,28.361282870560835,,False,Does not meet criteria,
WELL,2,24.39526287239049,199.11787151145938,50.0,22.69115693500867,-11.287737791838161,22.69115693500867,24.026706878577215,False,Does not meet criteria,
ORCL,3,24.176586912226238,196.48795182266235,100.0,47.16042765334267,0.0,93.87340666368965,40.534402896639925,True,"Std Dev 40.5% ≥30%, Avg Win 47.2% ≥40%",
MU,4,23.72664455258393,191.13492993507387,25.0,42.80682285487277,-10.588887972859167,42.80682285487277,26.837369080153927,True,Avg Win 42.8% ≥40%,
WMB,2,22.658456515698113,178.73608642473224,50.0,47.624180729565914,-11.289796323970686,47.624180729565914,41.65847268122439,True,"Std Dev 41.7% ≥30%, Avg Win 47.6% ≥40%",
CEG,2,22.325963339157884,174.9642765575409,50.0,150.66227436374,-23.66730495965282,150.66227436374,123.26962770096922,True,"Std Dev 123.3% ≥30%, Max Win 150.7% ≥150%, Avg Win 150.7% ≥40%",
APH,3,22.110738227171556,172.54462871131906,66.66666666666666,35.11698913357788,-12.719020677686977,64.04192627524668,39.99266516338507,True,Std Dev 40.0% ≥30%,
