Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Market_Cap_2020,Qualifies
ALL,95.63359069824219,43.04873669149502,2054909.5238095238,-2.0563432358253104,25025561356.08893,True
V,210.58372497558594,42.82649570276219,9746618.253968254,14.956096028318179,354996191020.95825,True
CCI,124.05680084228516,42.80578511622056,2174230.9523809524,13.836765463417722,54024132814.565506,True
LLY,158.4889373779297,42.7434900069338,3946586.111111111,28.85481673255445,141850571730.24548,True
ORLY,30.1200008392334,42.13004283299562,10151047.61904762,3.263856265635185,25424415959.440346,True
UNP,184.17088317871094,42.024891523653544,3455430.1587301586,15.424595649375675,109242964794.19933,True
CSCO,38.176109313964844,42.01524036604673,25068138.492063493,-5.673561599381087,150837417946.90015,True
NEE,66.79895782470703,41.66029736619101,9269095.238095239,29.87237817149422,139116156446.84244,True
NKE,131.84356689453125,41.64911100277543,7399666.26984127,39.8525110772884,157091036435.318,True
DUK,74.44337463378906,41.48994060427062,3714948.8095238097,4.625139541225017,57891725836.402954,True
MDT,100.30601501464844,41.36308295326283,5563183.73015873,3.3339605376854715,128593736396.64062,True
UPS,135.22608947753906,41.34014775814839,4489636.111111111,47.06699554451663,99930735165.21542,True
ED,59.36249542236328,41.189057292970894,2317893.6507936507,-16.95114344315488,21426038377.667908,True
APH,30.996845245361328,40.99451742957555,6366855.555555556,20.110688288936018,37941859153.208145,True
TMUS,128.7626190185547,40.88754593143185,5396205.158730159,69.5890575037335,144021842553.36703,True
ORCL,59.91044998168945,40.728570435343606,13122127.777777778,21.469860361014998,172130511155.89142,True
PEG,48.51127243041992,40.55864191973116,2763896.8253968256,1.29909927247828,24214594514.463287,True
MCD,188.73291015625,40.17327301332718,3889830.5555555555,7.992537402046416,134406962955.93262,True
CVS,57.61779022216797,39.641371787181775,8726850.396825397,-5.739937185162108,73141894621.9354,True
ABT,99.07516479492188,39.369441367149435,6718530.158730159,26.681562292578864,172279024706.29166,True
PM,63.9712028503418,39.23179059914234,5419646.825396826,1.9299298961011302,99580053176.9813,True
ZTS,157.0507354736328,39.17183363232717,2027111.507936508,23.16317730475407,69211193376.93906,True
LIN,244.3026580810547,39.11369481222746,2106488.492063492,26.32941777251263,114076864787.10434,True
XEL,56.017616271972656,39.10804241285579,3079291.26984127,8.00851377066659,33136648013.52381,True
FAST,21.744285583496094,39.07045766840485,8484137.301587302,36.24134850428741,24963216577.478844,True
CMS,51.39420700073242,38.81581416448352,2031563.492063492,-0.31700574331983183,15640272996.824245,True
AEP,67.87315368652344,38.57332573877305,3145892.8571428573,-9.93259627306806,36250680117.8215,True
AMZN,164.29249572753906,38.57137510697255,98776468.25396825,73.12079511219653,1756322268313.6873,True
GOOGL,86.16149139404297,38.55150504236666,40028047.61904762,26.855812446728542,501287556930.542,True
AMGN,194.07818603515625,38.44322701385968,2806983.73015873,-2.770070100662968,104507351842.67377,True
GOOG,86.32852172851562,38.40933737492691,37903428.571428575,27.216479962979314,466778316986.084,True
CMCSA,41.2559928894043,38.28149377661786,22709164.682539683,15.402425401184413,149942848720.17453,True
TGT,151.34188842773438,37.57286511148018,4857036.111111111,40.7120082875068,68528578392.318054,True
