Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-01-04,TSLA,BUY,46,238.7516775512695,10982.577167358397,P1,110000.0,,,,,,
2021-01-04,FANG,BUY,280,39.771591587066645,11136.04564437866,P1,110000.0,,,,,,
2021-01-04,DRI,BUY,108,102.48802047729491,11068.706211547851,P1,110000.0,,,,,,
2021-01-04,HAL,BUY,636,17.530955448150632,11149.687665023801,P1,110000.0,,,,,,
2021-01-04,WYNN,BUY,100,111.31452156066894,11131.452156066895,P1,110000.0,,,,,,
2021-01-04,DVN,BUY,901,12.383872923851012,11157.869504389762,P1,110000.0,,,,,,
2021-01-04,FITB,BUY,480,23.247357978820798,11158.731829833983,P1,110000.0,,,,,,
2021-01-04,CFG,BUY,380,29.341272487640378,11149.683545303344,P1,110000.0,,,,,,
2021-01-04,KEY,BUY,852,13.09703854560852,11158.67684085846,P1,110000.0,,,,,,
2021-01-04,CCL,BUY,450,21.984899845123287,9893.20493030548,P1,110000.0,,,,,,
2021-07-19,WYNN,SELL,100,100.74953979492187,10074.953979492188,N2,142142.00775253776,2021-01-04,111.31452156066894,P1,196.0,-1056.498176574707,-9.491108273765445
2021-07-19,CCL,SELL,450,20.710800075531004,9319.860033988953,N2,141285.14659512046,2021-01-04,21.984899845123287,P1,196.0,-573.3448963165265,-5.795340340724378
2021-08-23,HAL,SELL,636,16.540338592529295,10519.655344848632,N2,140127.87831211567,2021-01-04,17.530955448150632,P1,231.0,-630.0323201751689,-5.6506723695190075
2021-08-30,CCL,BUY,569,24.71525038719177,14062.977470312117,P1,138709.86943912986,,,,,,
2021-08-30,RCL,BUY,169,83.04953765869139,14035.371864318846,P1,138709.86943912986,,,,,,
2021-09-06,CCL,SELL,569,22.73039909362793,12933.597084274292,N2,147204.12384351256,2021-08-30,24.71525038719177,P1,7.0,-1129.3803860378248,-8.030876735897658
2021-10-04,CCL,BUY,557,26.481350154876708,14750.112036266326,P1,154349.76315434935,,,,,,
2021-10-25,CCL,SELL,557,22.06710090637207,12291.375204849242,N2,171794.33173141006,2021-10-04,26.481350154876708,P1,21.0,-2458.7368314170835,-16.6692756324274
2021-10-25,HAL,BUY,509,24.16394351005554,12299.447246618269,P1,159378.80122146133,,,,,,
2021-11-29,RCL,SELL,169,66.13800773620605,11177.323307418823,N2,166703.18602745535,2021-08-30,83.04953765869139,P1,91.0,-2858.048556900023,-20.363183708483295
2022-01-17,RCL,BUY,133,83.93729095458984,11163.659696960449,P1,178744.61540215017,,,,,,
2022-01-24,DRI,SELL,108,116.67201210021973,12600.57730682373,N2,176225.48957596306,2021-01-04,102.48802047729491,P1,385.0,1531.8710952758793,13.839658095520651
2022-01-31,RCL,SELL,133,72.50079254150391,9642.605408020021,N2,179802.54304115774,2022-01-17,83.93729095458984,P1,14.0,-1521.0542889404278,-13.625050657487957
2022-02-21,RCL,BUY,214,83.47844547271728,17864.3873311615,P1,176062.34660713674,,,,,,
2022-02-21,DRI,BUY,34,128.45783222198486,4367.566295547485,P1,176062.34660713677,,,,,,
2022-03-07,DRI,SELL,34,114.3000968170166,3886.203291778564,N2,177376.7693736315,2022-02-21,128.45783222198486,P1,14.0,-481.3630037689213,-11.021309608045257
2022-03-07,RCL,SELL,214,67.71411323547363,14490.820232391357,N2,187942.13173553947,2022-02-21,83.47844547271728,P1,14.0,-3373.5670987701415,-18.884314565244036
2022-03-14,TSLA,SELL,46,262.46550201416017,12073.413092651368,N2,183564.55589844228,2021-01-04,238.7516775512695,P1,434.0,1090.8359252929713,9.932422132530725
2022-03-21,TSLA,BUY,57,306.3236112976074,17460.445843963622,P1,173430.21904922964,,,,,,
2022-04-04,CFG,SELL,380,36.9508179473877,14041.310820007326,N2,189896.3938168383,2021-01-04,29.341272487640378,P1,455.0,2891.627274703982,25.934612968652743
2022-04-04,RCL,BUY,213,83.4485232925415,17774.535461311338,P1,175713.25157440666,,,,,,
2022-04-11,KEY,SELL,852,16.868713417053222,14372.143831329346,N2,189329.64859493735,2021-01-04,13.09703854560852,P1,462.0,3213.4669904708862,28.797921440869217
