Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-01-04,LLY,BUY,68,162.62896972656247,11058.769941406248,P1,110000.0,,,,,,
2021-01-04,AVGO,BUY,279,39.98014856338501,11154.461449184417,P1,110000.0,,,,,,
2021-01-04,ORCL,BUY,182,61.08294036865234,11117.095147094726,P1,110000.0,,,,,,
2021-01-04,NFLX,BUY,203,54.884096889495844,11141.471668567656,P1,110000.00000000001,,,,,,
2021-01-04,ANET,BUY,605,18.433034839630125,11151.986077976226,P1,110000.00000000001,,,,,,
2021-01-04,MU,BUY,149,74.45319885253906,11093.52662902832,P1,110000.00000000001,,,,,,
2021-01-04,SMCI,BUY,3474,3.2134898877143856,11163.663869919776,P1,110000.00000000001,,,,,,
2021-01-04,TRGP,BUY,460,24.23621091842651,11148.657022476194,P1,110000.00000000003,,,,,,
2021-01-04,VST,BUY,622,17.945616540908812,11162.173488445282,P1,110000.00000000001,,,,,,
2021-01-04,JPM,BUY,86,112.76761356353758,9698.014766464232,P1,110000.00000000001,,,,,,
2021-03-01,VST,SELL,622,15.357945070266723,9552.641833705902,N2,125578.76799640182,2021-01-04,17.945616540908812,P1,56.0,-1609.5316547393795,-14.41951835281466
2021-03-01,DVN,BUY,572,16.872148647308347,9650.869026260374,P1,115929.63483104232,,,,,,
2021-08-16,MU,SELL,149,68.50446968078613,10207.165982437133,N2,145887.61171981337,2021-01-04,74.45319885253906,P1,224.0,-886.3606465911871,-7.989890647324504
2021-08-16,MPC,BUY,189,53.79266136169433,10166.812997360228,P1,135577.34305068495,,,,,,
2022-01-17,NFLX,SELL,203,52.04331024169922,10564.791979064941,N2,176356.47373908522,2021-01-04,54.884096889495844,P1,378.0,-576.6796895027146,-5.1759741141706135
2022-01-17,MU,BUY,109,96.65647098541258,10535.55533740997,P1,165684.9666895247,,,,,,
2022-01-24,JPM,SELL,86,129.50454116821288,11137.390540466307,N2,164439.26930362228,2021-01-04,112.76761356353758,P1,385.0,1439.3757740020756,14.841963109598904
2022-01-24,ORCL,SELL,182,77.17572372436523,14045.981717834471,N2,167235.3615866423,2021-01-04,61.08294036865234,P1,385.0,2928.8865707397454,26.34579026253241
2022-01-24,WMB,BUY,639,24.308882942199705,15533.376200065612,P1,153047.50126559736,,,,,,
2022-01-24,MCK,BUY,39,245.19738288879392,9562.697932662963,P1,153047.50126559736,,,,,,
2022-03-14,MU,SELL,109,70.5131714630127,7685.935689468384,N2,179221.21745662217,2022-01-17,96.65647098541258,P1,56.0,-2849.6196479415867,-27.04764539390791
2022-03-14,PWR,BUY,63,124.36736797332763,7835.144182319641,P1,171457.64605311875,,,,,,
2022-04-11,SMCI,SELL,3474,3.495689899921417,12144.026712327002,N2,196994.40547950746,2021-01-04,3.2134898877143856,P1,462.0,980.3628424072267,8.78173020820513
2022-04-11,CAH,BUY,209,58.18680011749267,12161.04122455597,P1,184727.7118306923,,,,,,
2022-05-16,ANET,SELL,605,26.89087537765503,16268.979603481292,N2,195971.85367984776,2021-01-04,18.433034839630125,P1,497.0,5116.993525505066,45.88414556587805
2022-05-16,SMCI,BUY,3062,5.31352513551712,16270.01396495342,P1,179538.54094905857,,,,,,
2022-06-20,AVGO,SELL,279,46.03830825805664,12844.688003997802,N2,172083.4128974581,2021-01-04,39.98014856338501,P1,532.0,1690.2265548133855,15.15291941716263
2022-07-04,SMCI,SELL,3062,3.873870105743408,11861.790263786315,N2,173517.81906605247,2022-05-16,5.31352513551712,P1,49.0,-4408.223701167104,-27.09416052538542
2022-07-18,TRGP,SELL,460,53.88464664459229,24786.937456512453,N2,185290.68381252768,2021-01-04,24.23621091842651,P1,560.0,13638.280434036258,122.33115079727423
2022-07-25,SMCI,BUY,3207,5.148080027103424,16509.892646920678,P1,162686.68835011008,,,,,,
2022-08-01,DECK,BUY,326,52.984692802429194,17273.009853591917,P1,170561.2481672931,,,,,,
2022-08-01,APH,BUY,414,37.929046611785886,15702.625297279357,P1,170561.24816729312,,,,,,
2022-09-26,APH,SELL,414,33.104843330383304,13705.405138778688,N2,177640.89637242083,2022-08-01,37.929046611785886,P1,56.0,-1997.2201585006696,-12.71902067768699
2022-09-26,WMB,SELL,639,24.94779682159424,15941.642168998718,N2,179738.69496689562,2022-01-24,24.308882942199705,P1,245.0,408.2659689331067,2.628314435154041
2022-10-24,NFLX,BUY,642,29.3913557434082,18869.250387268065,P1,186039.85244570498,,,,,,
2022-10-24,TRGP,BUY,168,63.96301216125487,10745.786043090819,P1,186039.85244570498,,,,,,
2023-02-20,DVN,SELL,572,46.74875289916992,26740.286658325196,N2,222430.08758558994,2021-03-01,16.872148647308347,P1,721.0,17089.417632064822,177.0764641563768
2023-02-20,ANET,BUY,565,35.07586141586303,19817.861699962614,P1,195419.6970216251,,,,,,
2023-03-13,MCK,SELL,39,328.4929248046875,12811.224067382813,N2,203800.16903393512,2022-01-24,245.19738288879392,P1,413.0,3248.5261347198502,33.97081197790403
2023-03-13,AXON,BUY,89,216.195,19241.355,P1,190859.53866284137,,,,,,
2023-05-08,MPC,SELL,189,99.71913070678711,18846.915703582763,N2,235814.61580300098,2021-08-16,53.79266136169433,P1,630.0,8680.102706222535,85.37683056112361
2023-05-08,JPM,BUY,148,130.28529220581052,19282.22324645996,P1,216777.32721352344,,,,,,
2023-08-07,AXON,SELL,89,179.05140060424804,15935.574653778076,N2,319541.53586342576,2023-03-13,216.195,P1,147.0,-3305.7803462219235,-17.18060056696591
2023-08-07,MPC,BUY,120,132.83349418640137,15940.019302368164,P1,303444.99580910447,,,,,,
2023-10-23,PWR,SELL,63,162.5848860168457,10242.847819061279,N2,288482.27969193226,2022-03-14,124.36736797332763,P1,588.0,2407.7036367416376,30.72953835584456
2023-10-23,AXON,BUY,48,214.02290061950683,10273.099229736328,P1,278135.96876358753,,,,,,
