Date,Cash,Positions_Value,Portfolio_Value,Return_%,Position_Count
2021-01-04,43215.99157527925,66784.00842472076,110000.0,0.0,6
2021-01-11,43215.99157527925,66517.69787216187,109733.68944744111,-0.24210050232626434,6
2021-01-18,43215.99157527925,65516.32068634033,108732.31226161958,-1.152443398527658,6
2021-01-25,43215.99157527925,70368.34579467773,113584.33736995698,3.2584885181427077,6
2021-02-01,43215.99157527925,67331.14765548706,110547.1392307663,0.4973993006966405,6
2021-02-08,43215.99157527925,72286.24954223633,115502.24111751557,5.002037379559611,6
2021-02-15,43215.99157527925,75147.12080001831,118363.11237529755,7.602829432088686,6
2021-02-22,43215.99157527925,75249.7541923523,118465.74576763154,7.696132516028671,6
2021-03-01,43215.99157527925,72960.24424743652,116176.23582271577,5.614759838832516,6
2021-03-08,43215.99157527925,71494.73355865479,114710.72513393403,4.282477394485481,6
2021-03-15,43215.99157527925,71134.95756912231,114350.94914440156,3.9554083130923257,6
2021-03-22,43215.99157527925,71822.63607406616,115038.6276493454,4.5805705903140055,6
2021-03-29,43215.99157527925,71496.92321014404,114712.91478542329,4.284467986748443,6
2021-04-05,43215.99157527925,74736.94996643066,117952.94154170991,7.229946856099917,6
2021-04-12,43215.99157527925,78013.34743499756,121229.3390102768,10.208490009342547,6
2021-04-19,43215.99157527925,78424.6309890747,121640.62256435395,10.582384149412682,6
2021-04-26,43215.99157527925,76271.35453033447,119487.34610561372,8.624860096012469,6
2021-05-03,43215.99157527925,76899.31969070435,120115.31126598359,9.195737514530537,6
2021-05-10,43215.99157527925,76351.82490539551,119567.81648067475,8.698014982431593,6
2021-05-17,43215.99157527925,73493.84035110474,116709.83192638398,6.099847205803618,6
2021-05-24,43215.99157527925,74887.05986404419,118103.05143932343,7.36641039938494,6
2021-05-31,43215.99157527925,77880.08807754517,121096.07965282441,10.087345138931282,6
2021-06-07,43215.99157527925,79332.44793319702,122548.43950847627,11.407672280432969,6
2021-06-14,43215.99157527925,79289.09760284424,122505.08917812348,11.368262889203166,6
2021-06-21,43215.99157527925,79497.09326171875,122713.084836998,11.557349851816358,6
2021-06-28,43215.99157527925,81636.80773162842,124852.79930690766,13.50254482446151,6
2021-07-05,43215.99157527925,83467.64138031006,126683.6329555893,15.16693905053573,6
2021-07-12,43215.99157527925,83355.09909439087,126571.09066967011,15.064627881518286,6
2021-07-19,43215.99157527925,81263.56837463379,124479.55994991303,13.163236318102758,6
2021-07-26,43215.99157527925,84159.82316970825,127375.8147449875,15.796195222715905,6
2021-08-02,43215.99157527925,84339.26232910156,127555.2539043808,15.95932173125528,6
2021-08-09,43215.99157527925,86126.75709533691,129342.74867061616,17.584316973287418,6
2021-08-16,53423.15530689241,74400.48641204834,127823.64171894075,16.203310653582502,5
2021-08-23,53423.15530689241,75244.26215744019,128667.4174643326,16.970379513029634,5
2021-08-30,53423.15530689241,79137.56446456909,132560.7197714615,20.509745246783183,5
2021-09-06,53423.15530689241,79996.31504058838,133419.4703474808,21.2904275886189,5
2021-09-13,53423.15530689241,79152.10453414917,132575.25984104158,20.522963491855982,5
2021-09-20,53423.15530689241,78608.46723937988,132031.6225462723,20.028747769338448,5
2021-09-27,53423.15530689241,79212.64144515991,132635.79675205232,20.57799704732029,5
2021-10-04,53423.15530689241,76574.07093811035,129997.22624500276,18.17929658636615,5
2021-10-11,53423.15530689241,78041.22465133667,131464.37995822908,19.513072689299165,5
2021-10-18,53423.15530689241,79488.33519363403,132911.49050052644,20.828627727751314,5
2021-10-25,53423.15530689241,80412.23583221436,133835.39113910677,21.66853739918797,5
2021-11-01,53423.15530689241,86257.72950744629,139680.8848143387,26.982622558489727,5
2021-11-08,53423.15530689241,89799.38174819946,143222.53705509187,30.20230641371989,5
2021-11-15,53423.15530689241,91224.85804367065,144648.01335056307,31.49819395505733,5
2021-11-22,38519.20865345003,108447.85298736572,146967.06164081575,33.606419673468864,6
2021-11-29,38519.20865345003,104475.8233757019,142995.03202915192,29.99548366286538,6
2021-12-06,38519.20865345003,102426.85302734375,140946.06168079376,28.132783346176147,6
2021-12-13,38519.20865345003,106305.64331436157,144824.85196781158,31.658956334374167,6
2021-12-20,38519.20865345003,101896.17278289795,140415.38143634796,27.65034676031633,6
2021-12-27,38519.20865345003,108087.73085021973,146606.93950366974,33.279035912427034,6
2022-01-03,38519.20865345003,106900.85849380493,145420.06714725494,32.200061042959035,6
2022-01-10,38519.20865345003,100926.8966178894,139446.10527133942,26.76918661030856,6
2022-01-17,49084.000632514966,90268.89213180542,139352.8927643204,26.684447967563997,5
2022-01-24,49084.000632514966,80545.80084991455,129629.80148242952,17.845274074935933,5
2022-01-31,49084.000632514966,81094.47878265381,130178.47941516878,18.344072195607982,5
2022-02-07,49084.000632514966,85913.30157089233,134997.3022034073,22.724820184915735,5
2022-02-14,49084.000632514966,84451.62691116333,133535.6275436783,21.39602503970755,5
2022-02-21,49084.000632514966,83603.74378967285,132687.74442218782,20.625222201988933,5
2022-02-28,49084.000632514966,85134.94165802002,134218.942290535,22.017220264122724,5
2022-03-07,49084.000632514966,82246.91331100464,131330.9139435196,19.391739948654195,5
2022-03-14,96434.55040103913,31175.128131866455,127609.67853290559,16.008798666277805,2
2022-03-21,83328.15223967553,45905.2413544178,129233.39359409333,17.484903267357573,3
2022-03-28,83328.15223967553,47597.08444404602,130925.23668372155,19.022942439746863,3
2022-04-04,70145.64764609338,60061.64466545105,130207.29231154443,18.370265737767664,4
2022-04-11,81318.05229510309,44311.70450592041,125629.7568010235,14.208869819112271,3
2022-04-18,108636.77016261102,14931.06904220581,123567.83920481683,12.33439927710621,1
2022-04-25,108636.77016261102,15271.920867919922,123908.69103053094,12.644264573209949,1
2022-05-02,108636.77016261102,14424.736576080322,123061.50673869134,11.874097035173948,1
2022-05-09,108636.77016261102,15093.690971374512,123730.46113398553,12.482237394532303,1
2022-05-16,108636.77016261102,15305.48571395874,123942.25587656976,12.674778069608875,1
2022-05-23,108636.77016261102,14133.324703216553,122770.09486582757,11.60917715075234,1
2022-05-30,108636.77016261102,15176.428630828857,123813.19879343988,12.557453448581708,1
2022-06-06,108636.77016261102,14657.089347839355,123293.85951045038,12.085326827682161,1
2022-06-13,108636.77016261102,14083.367500305176,122720.1376629162,11.563761511741998,1
2022-06-20,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-06-27,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-07-04,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-07-11,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-07-18,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-07-25,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-08-01,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-08-08,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-08-15,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-08-22,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-08-29,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-09-05,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-09-12,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-09-19,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-09-26,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-10-03,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-10-10,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-10-17,121481.46027392389,0.0,121481.46027392389,10.437691158112628,0
2022-10-24,109166.48221743586,12314.978056488037,121481.46027392389,10.437691158112628,1
2022-10-31,109166.48221743586,12390.668210983276,121557.15042841913,10.506500389471938,1
2022-11-07,97042.08706019404,23051.49635543823,120093.58341563227,9.17598492330206,2
2022-11-14,97042.08706019404,23847.106231689453,120889.1932918835,9.899266628984995,2
2022-11-21,97042.08706019404,23900.478199005127,120942.56525919917,9.947786599271971,2
2022-11-28,84751.13137248042,36578.7977897644,121329.92916224482,10.299935602040748,3
2022-12-05,84751.13137248042,37457.646911621094,122208.77828410151,11.098889349183194,3
2022-12-12,84751.13137248042,37236.1989440918,121987.33031657222,10.897573015065651,3
2022-12-19,84751.13137248042,36071.44013214111,120822.57150462153,9.838701367837759,3
2022-12-26,84751.13137248042,36255.03079032898,121006.1621628094,10.005601966190364,3
2023-01-02,84751.13137248042,36173.944456100464,120925.07582858088,9.931887116891714,3
2023-01-09,84751.13137248042,37371.422607421875,122122.5539799023,11.020503618092995,3
2023-01-16,84751.13137248042,38088.2986869812,122839.43005946162,11.67220914496511,3
2023-01-23,72306.25803431513,50475.38416809082,122781.64220240596,11.61967472945996,4
2023-01-30,59526.50727137568,66492.65594100952,126019.1632123852,14.562875647622912,5
2023-02-06,59526.50727137568,66460.14839935303,125986.65567072871,14.533323337026099,5
2023-02-13,59526.50727137568,65643.34941482544,125169.85668620112,13.790778805637382,5
2023-02-20,59526.50727137568,65360.615798950195,124887.12307032588,13.533748245750798,5
2023-02-27,59526.50727137568,64165.70682525635,123692.21409663203,12.447467360574572,5
2023-03-06,59526.50727137568,65452.9589099884,124979.46618136409,13.617696528512804,5
2023-03-13,59526.50727137568,62920.60272026062,122447.1099916363,11.315554537851183,5
2023-03-20,46830.11404940608,78577.960675354,125408.07472476008,14.007340658872803,6
2023-03-27,43126.26871897701,84896.17651634217,128022.44523531917,16.384041123017433,6
2023-04-03,43126.26871897701,85611.2159614563,128737.4846804333,17.034076982212095,6
2023-04-10,43126.26871897701,85244.74110794067,128371.00982691768,16.70091802447062,6
2023-04-17,43126.26871897701,85878.48075866699,129004.749477644,17.277044979676365,6
2023-04-24,43126.26871897701,84841.81861495972,127968.08733393672,16.334624849033386,6
2023-05-01,43126.26871897701,86361.80922698975,129488.07794596675,17.716434496333413,6
2023-05-08,43126.26871897701,85708.02087402344,128834.28959300045,17.12208144818222,6
2023-05-15,43126.26871897701,89029.46436691284,132155.73308588983,20.141575532627122,6
2023-05-22,43126.26871897701,96011.14194107056,139137.41066004755,26.48855514549777,6
2023-05-29,27988.867272100484,121651.9935565567,149640.86082865717,36.03714620787015,7
2023-06-05,27988.867272100484,122276.77753829956,150265.64481040003,36.60513164581821,7
2023-06-12,27988.867272100484,122244.8829421997,150233.75021430018,36.57613655845471,7
2023-06-19,27988.867272100484,127587.06287384033,155575.9301459408,41.43266376903709,7
2023-06-26,27988.867272100484,124766.159324646,152755.02659674647,38.868205997042246,7
2023-07-03,27988.867272100484,125789.72469711304,153778.5919692135,39.79871997201228,7
2023-07-10,27988.867272100484,124714.78561019897,152703.65288229944,38.82150262027223,7
2023-07-17,27988.867272100484,130619.1117553711,158607.97902747156,44.18907184315597,7
2023-07-24,27988.867272100484,128691.84352111816,156680.71079321863,42.43700981201694,7
2023-07-31,27988.867272100484,134385.59656906128,162374.46384116175,47.613148946510684,7
2023-08-07,27988.867272100484,132899.29299545288,160888.16026755335,46.26196387959396,7
2023-08-14,27988.867272100484,128437.30675506592,156426.1740271664,42.20561275196945,7
2023-08-21,27988.867272100484,128328.99117660522,156317.8584487057,42.1071440442779,7
2023-08-28,27988.867272100484,132116.21155166626,160105.07882376673,45.55007165796975,7
2023-09-04,27988.867272100484,138330.11905670166,166318.98632880213,51.19907848072921,7
2023-09-11,27988.867272100484,136421.80094146729,164410.66821356775,49.46424383051614,7
2023-09-18,27988.867272100484,133642.1923904419,161631.05966254236,46.9373269659476,7
2023-09-25,27988.867272100484,129080.32794570923,157069.1952178097,42.79017747073609,7
2023-10-02,27988.867272100484,130072.33728408813,158061.2045561886,43.692004141989635,7
2023-10-09,27988.867272100484,134389.5509338379,162378.41820593836,47.61674382358033,7
2023-10-16,27988.867272100484,134424.00088500977,162412.86815711024,47.648061961009304,7
2023-10-23,27988.867272100484,131711.13552093506,159700.00279303553,45.18182072094139,7
2023-10-30,27988.867272100484,126812.17345809937,154801.04073019983,40.72821884563621,7
2023-11-06,27988.867272100484,136579.98444366455,164568.85171576502,49.60804701433184,7
2023-11-13,27988.867272100484,143511.04010772705,171499.90737982752,55.90900670893411,7
2023-11-20,27988.867272100484,146582.6167793274,174571.48405142786,58.701349137661694,7
2023-11-27,27988.867272100484,146709.30670166016,174698.17397376063,58.816521794327834,7
2023-12-04,27988.867272100484,142207.87650680542,170196.7437789059,54.724312526278084,7
2023-12-11,27988.867272100484,141595.9848022461,169584.85207434656,54.16804734031506,7
2023-12-18,27988.867272100484,149659.78732299805,177648.65459509852,61.49877690463501,7
2023-12-25,27988.867272100484,152729.70152664185,180718.56879874232,64.28960799885665,7
2024-01-01,27988.867272100484,152712.5693321228,180701.43660422327,64.27403327656661,7
2024-01-08,27988.867272100484,148901.88845062256,176890.75572272303,60.80977792974821,7
2024-01-15,27988.867272100484,155764.70225906372,183753.5695311642,67.04869957378563,7
2024-01-22,27988.867272100484,163304.54858398438,191293.41585608484,73.90310532371349,7
2024-01-29,27988.867272100484,170619.82359313965,198608.69086524012,80.55335533203647,7
2024-02-05,27988.867272100484,173120.85612106323,201109.7233931637,82.82702126651246,7
2024-02-12,27988.867272100484,180355.89962387085,208344.76689597132,89.40433354179211,7
2024-02-19,27988.867272100484,177296.4555091858,205285.32278128626,86.62302071026023,7
2024-02-26,27988.867272100484,185389.0175666809,213377.88483878138,93.97989530798307,7
2024-03-04,27988.867272100484,198236.63301849365,226225.50029059412,105.65954571872194,7
2024-03-11,27988.867272100484,199334.63064956665,227323.49792166712,106.65772538333374,7
2024-03-18,27988.867272100484,197510.5830116272,225499.45028372767,104.99950025793426,7
2024-03-25,27988.867272100484,213768.4949913025,241757.36226340296,119.77942023945725,7
