Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2025-05-19,ALAB,BUY,360,91.91839752197265,33090.623107910156,P1,326864.2117041374,,,,,,
2025-05-19,ARM,BUY,240,137.9994068145752,33119.85763549805,P1,326864.2117041374,,,,,,
2025-05-19,NVDA,BUY,241,137.40605865478514,33114.86013580322,P1,326864.2117041374,,,,,,
2025-05-19,TSM,BUY,29,195.2702583312988,5662.8374916076655,P1,326864.2117041374,,,,,,
2025-05-26,NU,SELL,2395,11.870099773406983,28428.888957309722,N2,341004.3251217056,2025-05-12,13.022449922561645,P1,14.0,-2759.878607225419,-8.848950512439249
2025-06-02,ARM,SELL,240,123.29460090637207,29590.704217529295,N2,351634.7466873337,2025-05-19,137.9994068145752,P1,14.0,-3529.1534179687515,-10.655702258170896
2025-06-02,ASML,BUY,43,744.6083737182616,32018.16006988525,P1,321745.1464676071,,,,,,
2025-06-09,GOOG,BUY,147,177.0567728424072,26027.34560783386,P1,313781.63471315155,,,,,,
2025-06-23,AMD,BUY,1,130.16360557556152,130.16360557556152,P1,328224.2515534378,,,,,,
2025-06-30,NU,BUY,2,13.448749999999999,26.897499999999997,P1,326963.7969780136,,,,,,
2025-08-04,TSLA,SELL,103,299.60370483398435,30859.181597900388,N2,399446.6553347183,2025-05-12,302.73390991210937,P1,84.0,-322.41112304687704,-1.0339790078467888
2025-09-01,TSLA,BUY,91,338.8780450439453,30837.90209899902,P1,395289.68135095364,,,,,,
