strategy,total_trades,win_rate,avg_return,total_return,avg_win,avg_loss,median_return,std_dev,avg_hold_weeks
GHB Strategy (SMA),409,36.18581907090464,5.3624364764810055,2193.236518880731,35.77708433295847,-11.884183763973644,-6.949501345575432,40.22403583468065,34.65700314355571
GHB Strategy (EMA),388,37.371134020618555,5.60064213684814,2173.049149097078,35.2165100679336,-12.07137782203001,-6.5033922890713995,39.206351234945835,35.70876288659794
