ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hold_weeks,exit_reason
DASH,2024-08-09,2025-11-14,124.76,195.21,56.46841936518114,66.0,20% Trailing Stop (Peak: $270.99)
DASH,2025-12-12,2026-01-15,224.52,215.56,-3.990735791911637,4.857142857142857,Transition to N2 (Blue) + Price < D200
DDOG,2021-01-01,2021-03-12,98.44,86.24,-12.393336042259246,10.0,20% Trailing Stop (Peak: $117.60)
DDOG,2021-06-18,2022-01-14,101.75,135.13,32.8058968058968,30.0,20% Trailing Stop (Peak: $190.60)
DDOG,2022-02-11,2022-04-08,174.6,137.24,-21.39747995418098,8.0,20% Trailing Stop (Peak: $174.60)
DDOG,2023-05-19,2023-11-03,94.54,79.24,-16.18362597842184,24.0,20% Trailing Stop (Peak: $109.46)
DDOG,2023-11-17,2024-09-06,109.12,110.09,0.8889296187683273,42.0,Transition to N2 (Blue) + Price < D200
DDOG,2024-10-18,2025-03-07,126.22,111.46,-11.693867849786093,20.0,20% Trailing Stop (Peak: $156.73)
DDOG,2025-06-27,2025-12-26,131.12,138.04,5.277608297742517,26.0,20% Trailing Stop (Peak: $185.97)
DLTR,2021-01-01,2021-07-16,108.04,98.68,-8.66345797852647,28.0,Transition to N2 (Blue) + Price < D200
DLTR,2021-11-05,2022-05-20,108.07,135.57,25.446469880632925,28.0,20% Trailing Stop (Peak: $173.06)
DLTR,2022-06-03,2022-09-09,159.1,141.56,-11.024512884977996,14.0,Transition to N2 (Blue) + Price < D200
DLTR,2022-11-04,2022-12-16,156.0,145.11,-6.980769230769222,6.0,Transition to N2 (Blue) + Price < D200
DLTR,2023-04-21,2023-06-02,149.85,129.56,-13.540206873540203,6.0,Transition to N2 (Blue) + Price < D200
DLTR,2023-07-14,2023-08-25,148.0,123.88,-16.297297297297302,6.0,Transition to N2 (Blue) + Price < D200
DLTR,2023-12-29,2024-04-19,142.29,122.23,-14.097968936678607,16.0,Transition to N2 (Blue) + Price < D200
DLTR,2025-04-18,2025-10-03,79.14,90.24,14.025777103866558,24.0,20% Trailing Stop (Peak: $117.16)
DXCM,2021-02-12,2021-03-26,102.55,87.05,-15.114578254509995,6.0,Transition to N2 (Blue) + Price < D200
DXCM,2021-04-23,2021-05-07,102.6,89.33,-12.93372319688109,2.0,Transition to N2 (Blue) + Price < D200
DXCM,2021-06-04,2022-01-14,94.18,113.94,20.98110002123592,32.0,20% Trailing Stop (Peak: $162.10)
DXCM,2022-04-08,2022-04-22,128.13,118.1,-7.827987200499494,2.0,Transition to N2 (Blue) + Price < D200
DXCM,2022-11-04,2023-08-25,112.6,100.98,-10.319715808170507,42.0,20% Trailing Stop (Peak: $133.98)
DXCM,2023-12-01,2024-07-26,115.52,107.85,-6.639542936288089,34.0,Transition to N2 (Blue) + Price < D200
DXCM,2025-05-16,2025-09-19,85.67,75.78,-11.544297887241742,18.0,Transition to N2 (Blue) + Price < D200
ENPH,2021-01-01,2021-03-12,175.47,165.34,-5.773066621074825,10.0,20% Trailing Stop (Peak: $208.83)
ENPH,2021-03-26,2021-05-07,148.48,121.94,-17.874461206896548,6.0,20% Trailing Stop (Peak: $160.88)
ENPH,2021-06-18,2021-10-08,161.99,157.23,-2.9384529909253776,16.0,Transition to N2 (Blue) + Price < D200
ENPH,2021-10-22,2021-12-17,179.8,190.85,6.145717463848711,8.0,20% Trailing Stop (Peak: $254.48)
ENPH,2022-03-11,2022-04-22,178.72,156.56,-12.399283795881825,6.0,20% Trailing Stop (Peak: $206.95)
ENPH,2022-06-03,2022-06-17,198.93,169.6,-14.743879756698341,2.0,Transition to N2 (Blue) + Price < D200
ENPH,2022-07-15,2022-10-21,196.92,244.29,24.05545399146862,14.0,20% Trailing Stop (Peak: $317.41)
ENPH,2022-11-04,2023-01-13,296.11,241.72,-18.368173989395835,10.0,20% Trailing Stop (Peak: $314.06)
ENPH,2024-03-08,2024-03-22,129.69,115.38,-11.034004163775158,2.0,Transition to N2 (Blue) + Price < D200
ENPH,2024-05-17,2024-06-28,116.85,105.23,-9.944373127941798,6.0,Transition to N2 (Blue) + Price < D200
ENPH,2024-07-26,2024-10-04,117.52,106.79,-9.130360789652817,10.0,Transition to N2 (Blue) + Price < D200
EXC,2021-01-01,2022-10-07,25.23,33.47,32.65953230281411,92.0,20% Trailing Stop (Peak: $43.70)
EXC,2023-04-07,2023-10-06,38.83,34.33,-11.588977594643318,26.0,Transition to N2 (Blue) + Price < D200
EXC,2023-11-03,2023-12-15,37.35,35.11,-5.997322623828652,6.0,Transition to N2 (Blue) + Price < D200
FANG,2021-01-01,2021-07-30,39.18,65.09,66.13067891781522,30.0,20% Trailing Stop (Peak: $81.50)
FANG,2021-08-13,2022-07-01,65.32,103.0,57.68524188609923,46.0,20% Trailing Stop (Peak: $130.85)
FANG,2022-08-12,2023-03-24,112.89,114.02,1.000974399858265,32.0,20% Trailing Stop (Peak: $142.70)
FANG,2023-04-21,2023-05-05,127.81,113.45,-11.235427587825678,2.0,Transition to N2 (Blue) + Price < D200
FANG,2023-07-14,2024-11-29,126.32,171.33,35.6317289423686,72.0,Transition to N2 (Blue) + Price < D200
FAST,2021-01-01,2022-02-25,21.64,22.97,6.146025878003688,60.0,20% Trailing Stop (Peak: $28.89)
FAST,2022-03-25,2022-05-20,26.11,23.5,-9.99617004978935,8.0,Transition to N2 (Blue) + Price < D200
FAST,2022-11-18,2022-12-16,23.93,22.25,-7.020476389469284,4.0,Transition to N2 (Blue) + Price < D200
FTNT,2021-01-01,2022-01-28,29.71,53.94,81.55503197576573,56.0,20% Trailing Stop (Peak: $71.96)
FTNT,2022-02-11,2022-05-06,65.07,56.9,-12.555709236207155,12.0,Transition to N2 (Blue) + Price < D200
FTNT,2023-02-10,2023-08-11,57.82,60.56,4.738844690418544,26.0,20% Trailing Stop (Peak: $78.25)
FTNT,2023-09-08,2023-09-22,63.17,58.78,-6.949501345575432,2.0,Transition to N2 (Blue) + Price < D200
FTNT,2024-01-26,2024-05-31,65.55,58.0,-11.517925247902362,18.0,20% Trailing Stop (Peak: $73.07)
FTNT,2024-08-09,2025-04-04,68.68,89.44,30.227140361094918,34.0,20% Trailing Stop (Peak: $114.21)
FTNT,2025-04-18,2025-08-08,96.13,75.3,-21.66857380630396,16.0,20% Trailing Stop (Peak: $104.77)
GEHC,2023-12-29,2024-12-27,77.25,79.53,2.951456310679613,52.0,Transition to N2 (Blue) + Price < D200
GEHC,2025-01-10,2025-04-04,86.07,71.87,-16.498199140234682,12.0,20% Trailing Stop (Peak: $91.92)
GFS,2022-08-26,2023-05-19,64.5,56.89,-11.7984496124031,38.0,Transition to N2 (Blue) + Price < D200
GFS,2023-06-16,2023-08-11,62.94,58.49,-7.070225611693671,8.0,Transition to N2 (Blue) + Price < D200
GFS,2023-12-29,2024-02-23,61.51,54.11,-12.030564135912858,8.0,Transition to N2 (Blue) + Price < D200
