strategy,total_trades,winners,losers,win_rate,avg_return,median_return,avg_win,avg_loss,max_win,max_loss,avg_hold_weeks,median_hold_weeks,std_dev
Strategy A,577,195,382,33.795493934142115,3.958972480627439,-4.593426475022609,29.67505196511371,-9.168345580824974,458.84732052578363,-36.85800604229608,22.52290170834365,12.0,33.66651871121984
Strategy B,1076,436,640,40.520446096654275,1.1623099895526332,-1.7457829187857206,12.529834410583678,-6.581816022274768,550.3538928210312,-36.85800604229608,9.324349442379182,4.0,22.749741279200087
Strategy C,283,112,171,39.57597173144876,4.12025034656648,-4.183254344391788,24.79135047395241,-9.418715818738928,175.14378145219268,-32.860896568198115,26.727410398788493,20.0,24.990099303721465
Strategy D,409,148,261,36.18581907090464,5.3624364764810055,-6.949501345575432,35.77708433295847,-11.884183763973644,458.84732052578363,-36.85800604229608,34.65700314355571,26.0,40.22403583468065
Strategy E,656,182,474,27.743902439024392,2.257615851358811,-4.366043945840566,28.666013132328597,-7.8823172818405585,458.84732052578363,-36.85800604229608,18.173344947735192,8.0,30.47019233308343
Strategy F,450,167,283,37.111111111111114,5.348523444139016,-6.9813371589148225,34.690149568907735,-11.966146389205068,458.84732052578363,-36.85800604229608,31.148253968253968,20.0,38.819405363446286
