Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
AXON,123.87999725341797,66.39197557917242,804784.9206349206,61.807734069751966,23.460236968972374,50.85927154174059,4.461448964124348,10.027999999999999,-0.22899999999999998,0.6933,30.599999999999998,50653569024,Industrials,False
AXP,112.02649688720703,64.38028778323628,5257925.0,-3.740794972441623,27.137543539314656,43.041808946367276,6.356460739932077,33.935001,22.052999,1.85273,12.2,248885755904,Financial Services,True
AZO,1175.8699951171875,41.44323042223534,259149.20634920636,-1.1658005304549908,2.341229544720018,65.2055495051849,1.7407192898183665,,16.941999,,8.200000000000001,57480822784,Consumer Cyclical,False
BA,216.6699981689453,87.74597852040485,28484836.111111112,-34.60964777764576,19.832974445304487,19.059121494145884,9.095503747877851,,-20.4,,30.4,194103541760,Industrials,True
BAC,26.569337844848633,58.81221966237601,68202924.6031746,-13.625068028858065,30.429337700083547,62.24053809921204,10.146382739317993,9.871,35.292998,,12.6,383819907072,Financial Services,True
BAX,71.17356872558594,37.056479932923644,3132088.888888889,-6.719383476897682,-8.632876295076395,49.391667183078226,0.5174394098547591,-4.658,10.123,1.34627,5.0,10463605760,Healthcare,True
BDX,222.03700256347656,36.52349353230062,1874726.0833333333,-8.265616730722131,1.3645121107999187,60.79687364666956,3.1826403381329085,6.544,17.858,0.7885,8.3,59526893568,Healthcare,False
BIIB,243.5800018310547,69.38662176577571,1698432.9365079366,-17.217234259343,-8.124620429557481,47.8147217366175,-3.7020800749184817,9.307,30.718002,0.36194000000000004,2.8000000000000003,24717867008,Healthcare,False
BK,36.08877182006836,48.861679731379965,5763422.619047619,-15.437326653739747,11.76752669177889,57.120235622410064,7.491073488853179,12.898000000000001,36.638,,7.8,86457344000,Financial Services,True
BKNG,2169.757080078125,52.36513092803655,490225.79365079367,6.29908168941781,32.053073082247025,65.02744488987092,11.753648667837334,,44.904998,,12.7,168218820608,Consumer Cyclical,False
BKR,18.665393829345703,70.56693799711988,7070692.857142857,-13.617186663490072,40.741760256803,31.188093581394455,13.795782866856744,16.89,13.524,0.33042,1.5,51292508160,Energy,True
BLK,628.821044921875,47.93248330391226,890027.380952381,42.849938780701244,29.912889573960637,54.80031193724128,5.2521410980973116,12.0740004,32.14,0.2432,25.2,180030914560,Financial Services,False
BMY,50.373207092285156,29.734362861295555,13192633.333333334,0.06616246989781911,5.4880653802241826,55.74706727283996,0.27237384435949613,33.777002,31.566,2.74414,2.8000000000000003,115203268608,Healthcare,True
BSX,35.54999923706055,44.49736749412898,10991698.80952381,-21.575120668303292,0.48049226628915037,64.31450031302057,1.2982103556269307,12.488000000000001,20.730999999999998,0.50973,20.3,133390131200,Healthcare,True
C,50.9075813293457,67.56959470485585,25050648.015873015,-22.053565931942057,23.122168134232524,57.757897638192,16.401443411298107,6.8309999999999995,21.562,,3.6999999999999997,215532339200,Financial Services,True
CAG,28.843896865844727,33.86877229253461,3686806.3492063493,10.27370394658213,3.418112769819559,57.609032501562496,0.5141767164288779,-1.16,11.413,0.94229,-6.800000000000001,8297318400,Consumer Defensive,True
