Date,Cash,Positions_Value,Portfolio_Value,Return_%,Position_Count
2021-01-04,21022.040765862483,88977.95923413752,110000.0,0.0,8
2021-01-11,21022.040765862483,96638.24575805664,117660.28652391912,6.963896839926469,8
2021-01-18,21022.040765862483,98215.36358737946,119237.40435324193,8.397640321129028,8
2021-01-25,21022.040765862483,96379.05031108856,117401.09107695104,6.728264615410034,8
2021-02-01,21022.040765862483,88401.88178443909,109423.92255030156,-0.5237067724531251,8
2021-02-08,21022.040765862483,97821.45399475098,118843.49476061345,8.039540691466774,8
2021-02-15,21022.040765862483,100574.76156425476,121596.80233011724,10.54254757283385,8
2021-02-22,21022.040765862483,104057.50644493103,125079.5472107935,13.708679282539551,8
2021-03-01,21022.040765862483,108885.43058395386,129907.47134981633,18.097701227105755,8
2021-03-08,21022.040765862483,115547.03913879395,136569.07990465642,24.15370900423311,8
2021-03-15,21022.040765862483,118279.13773536682,139301.1785012293,26.63743500111754,8
2021-03-22,21022.040765862483,112905.33508110046,133927.37584696294,21.752159860875402,8
2021-03-29,21022.040765862483,110690.81903266907,131712.85979853154,19.73896345321049,8
2021-04-05,21022.040765862483,113735.0730228424,134757.11378870488,22.506467080640803,8
2021-04-12,21022.040765862483,112197.6337184906,133219.67448435308,21.10879498577552,8
2021-04-19,21022.040765862483,111308.38314437866,132330.42391024114,20.30038537294649,8
2021-04-26,21022.040765862483,109515.12744522095,130537.16821108342,18.67015291916675,8
2021-05-03,21022.040765862483,114220.08927536011,135242.13004122258,22.947390946565985,8
2021-05-10,21022.040765862483,120365.51280212402,141387.5535679865,28.534139607260457,8
2021-05-17,21022.040765862483,118911.08751869202,139933.1282845545,27.211934804140448,8
2021-05-24,21022.040765862483,116201.85743904114,137223.8982049036,24.748998368094195,8
2021-05-31,21022.040765862483,121106.0094127655,142128.05017862798,29.207318344207252,8
2021-06-07,21022.040765862483,130182.87031936646,151204.91108522893,37.45901007748085,8
2021-06-14,21022.040765862483,126592.88953208923,147614.9302979517,34.1953911799561,8
2021-06-21,21022.040765862483,118714.03264045715,139736.07340631963,27.032794005745114,8
2021-06-28,21022.040765862483,127645.42359733582,148667.4643631983,35.15224033018026,8
2021-07-05,21022.040765862483,125566.85413169861,146588.89489756108,33.26263172505553,8
2021-07-12,21022.040765862483,119607.4280052185,140629.46877108098,27.84497161007362,8
2021-07-19,42016.2630837679,86761.28798866272,128777.55107243062,17.07050097493693,6
