Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Distance_From_Support,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-09-20,TSM,BUY,18,111.19400424957274,2001.4920764923095,P1,110000.0,8.926100725363867,,,,,,
2021-10-04,TSM,SELL,18,102.75383056640625,1849.5689501953125,N2,111849.56895019532,,2021-09-20,111.19400424957274,P1,14.0,-151.923126296997,-7.590493516379442
2021-10-04,GOOG,BUY,15,137.47832412719725,2062.174861907959,P1,109848.076873703,5.807814456084079,,,,,,
2021-10-04,ASML,BUY,2,721.8139913940429,1443.6279827880858,P1,109848.076873703,9.466018756560079,,,,,,
2021-11-08,TSM,BUY,18,111.24123390197752,2002.3422102355953,P1,109848.076873703,8.96476793944457,,,,,,
2022-01-24,ASML,SELL,2,661.05896484375,1322.1179296875,N2,111170.1948033905,,2021-10-04,721.8139913940429,P1,112.0,-121.51005310058576,-8.416992088634414
2022-01-24,TSLA,BUY,87,319.3528312683105,27783.696320343017,P1,109726.56682060243,6.121414309831176,,,,,,
2022-01-24,MRVL,BUY,28,72.45729496002197,2028.8042588806152,P1,109726.56682060243,7.5091641348935285,,,,,,
2022-02-28,TSM,SELL,18,102.87368316650391,1851.7262969970704,N2,111578.2931175995,,2021-11-08,111.24123390197752,P1,112.0,-150.61591323852485,-7.521986624893824
2022-03-14,GOOG,SELL,15,128.20915420532228,1923.1373130798343,N2,111499.08822044374,,2021-10-04,137.47832412719725,P1,161.0,-139.03754882812473,-6.742277359519592
2022-03-14,MRVL,SELL,28,61.45743438720703,1720.8081628417967,N2,111157.72152137758,,2022-01-24,72.45729496002197,P1,49.0,-307.99609603881845,-15.181163717033701
2022-03-14,TSLA,SELL,87,262.46550201416017,22834.498675231935,N2,131963.4159377289,,2022-01-24,319.3528312683105,P1,49.0,-4949.197645111082,-17.813316083099124
2023-04-24,ASML,BUY,3,627.9538735961913,1883.8616207885739,P1,104179.71961738588,7.02633752872904,,,,,,
2023-08-14,AMD,BUY,19,109.18354969024656,2074.487444114685,P1,104179.71961738588,6.9907935896631175,,,,,,
2023-08-21,GOOG,BUY,16,129.06364795684814,2065.0183673095703,P1,104179.71961738588,9.585510120014638,,,,,,
2023-08-28,MRVL,BUY,77,53.841501731872555,4145.795633354187,P1,104179.71961738588,2.336448598130841,,,,,,
2023-08-28,PLTR,BUY,141,14.747949728965757,2079.460911784172,P1,104179.71961738588,6.675838480253986,,,,,,
2023-09-18,ASML,SELL,3,578.9596618652344,1736.878985595703,N2,105916.59860298158,,2023-04-24,627.9538735961913,P1,147.0,-146.98263519287093,-7.802199140897876
2023-09-18,NVDA,BUY,250,44.52976804733276,11132.44201183319,P1,104032.736982193,8.663538272263748,,,,,,
2023-10-30,MRVL,SELL,77,46.44247089385986,3576.0702588272093,N2,107608.80724102021,,2023-08-28,53.841501731872555,P1,63.0,-569.7253745269777,-13.742244551163202
2024-04-15,MRVL,BUY,29,70.82170398712158,2053.829415626526,P1,103463.01160766602,9.62558148966375,,,,,,
2024-04-22,ASML,BUY,4,858.7935195922851,3435.1740783691403,P1,103463.01160766603,0.9098478115972854,,,,,,
2024-07-29,AMD,SELL,19,138.59010543823243,2633.212003326416,N2,106096.22361099246,,2023-08-14,109.18354969024656,P1,350.0,558.724559211731,26.93313766717803
2024-08-05,MRVL,SELL,29,58.38420993804932,1693.1420882034301,N2,105714.87825508119,,2024-04-15,70.82170398712158,P1,112.0,-360.6873274230959,-17.56169839027587
2024-08-05,ASML,SELL,4,791.8344360351563,3167.337744140625,N2,106828.38658359529,,2024-04-22,858.7935195922851,P1,105.0,-267.83633422851517,-7.796878065511932
2024-08-05,TSM,BUY,14,149.06034515380858,2086.84483215332,P1,103393.21250522614,6.341118819658556,,,,,,
2025-02-17,TSLA,BUY,77,361.177596282959,27810.67491378784,P1,103393.21250522614,8.638711373295317,,,,,,
2025-02-17,ALAB,BUY,23,89.1677484512329,2050.8582143783565,P1,103393.21250522614,9.447917548693297,,,,,,
2025-03-10,NVDA,SELL,250,111.53260299682617,27883.150749206543,N2,131276.36325443268,,2023-09-18,44.52976804733276,P1,539.0,16750.708737373352,150.4675139521791
2025-03-10,TSLA,SELL,77,260.043313293457,20023.33512359619,N2,140167.25636619568,,2025-02-17,361.177596282959,P1,21.0,-7787.3397901916505,-28.001261437675073
2025-03-10,ALAB,SELL,23,66.25079818725585,1523.7683583068847,N2,113880.34981071473,,2025-02-17,89.1677484512329,P1,21.0,-527.0898560714718,-25.70094082448503
2025-03-17,GOOG,SELL,16,165.48858489990235,2647.8173583984376,N2,114477.3089547348,,2023-08-21,129.06364795684814,P1,574.0,582.7989910888673,28.222460405917495
2025-03-17,TSM,SELL,14,170.0576971435547,2380.807760009766,N2,114793.098347435,,2024-08-05,149.06034515380858,P1,224.0,293.96292785644573,14.086477505522957
2025-09-01,ASML,BUY,2,752.4243817138671,1504.8487634277342,P1,112706.25351528167,7.963698570634686,,,,,,
2025-11-17,ALAB,BUY,14,146.50509628295896,2051.0713479614255,P1,112706.25351528169,5.332542027213798,,,,,,
2025-11-24,NVDA,BUY,61,181.553091506958,11074.738581924437,P1,112706.25351528169,8.284456330843904,,,,,,
2025-12-22,TSM,BUY,7,293.2842623901367,2052.989836730957,P1,112706.25351528169,7.907384904037667,,,,,,
