Date,Cash,Positions_Value,Portfolio_Value,Return_%,Position_Count
2021-01-04,13.364504933375429,109986.63549506663,110000.0,0.0,10
2021-01-11,13.364504933375429,118679.67838096619,118693.04288589956,7.902766259908689,10
2021-01-18,13.364504933375429,120080.80013370514,120094.16463863851,9.176513307853192,10
2021-01-25,13.364504933375429,118041.5151643753,118054.87966930868,7.322617881189706,10
2021-02-01,13.364504933375429,109544.5574836731,109557.92198860647,-0.40188910126684774,10
2021-02-08,13.364504933375429,121875.14026451111,121888.50476944448,10.807731608585891,10
2021-02-15,13.364504933375429,124636.42541885376,124649.78992378713,13.317990839806484,10
2021-02-22,13.364504933375429,128927.83249092102,128941.19699585439,17.219269996231265,10
2021-03-01,13.364504933375429,131990.6969680786,132004.061473012,20.003692248192728,10
2021-03-08,13.364504933375429,140297.5089225769,140310.8734275103,27.555339479554807,10
2021-03-15,13.364504933375429,143972.63730812073,143986.0018130541,30.89636528459465,10
2021-03-22,13.364504933375429,137918.66560173035,137932.03010666373,25.39275464242158,10
2021-03-29,13.364504933375429,136179.7261390686,136193.090644002,23.811900585456357,10
2021-04-05,13.364504933375429,138668.48316383362,138681.847668767,26.07440697160637,10
2021-04-12,13.364504933375429,137853.80007362366,137867.16457855704,25.333785980506402,10
2021-04-19,13.364504933375429,137767.54622077942,137780.9107257128,25.25537338701164,10
2021-04-26,13.364504933375429,135761.87577056885,135775.24027550223,23.43203661409294,10
2021-05-03,13.364504933375429,141461.57252120972,141474.9370261431,28.613579114675545,10
2021-05-10,13.364504933375429,146887.83708381653,146901.20158874991,33.54654689886356,10
2021-05-17,13.364504933375429,145257.8609905243,145271.22549545768,32.06475045041607,10
2021-05-24,13.364504933375429,142858.2257156372,142871.5902205706,29.883263836882357,10
2021-05-31,13.364504933375429,147306.31103897095,147319.67554390433,33.926977767185754,10
2021-06-07,13.364504933375429,152159.4704246521,152172.8349295855,38.338940845077715,10
2021-06-14,13.364504933375429,149138.87874412537,149152.24324905875,35.59294840823523,10
2021-06-21,13.364504933375429,140243.26475715637,140256.62926208976,27.50602660189978,10
2021-06-28,13.364504933375429,150736.19739151,150749.5618964434,37.045056269494,10
2021-07-05,13.364504933375429,148879.17371749878,148892.53822243217,35.35685292948379,10
2021-07-12,13.364504933375429,143173.09956169128,143186.46406662467,30.169512787840606,10
2021-07-19,19408.178518414516,112462.96804237366,131871.14656078818,19.88286050980744,8
2021-07-26,19408.178518414516,112372.64302444458,131780.8215428591,19.80074685714464,8
2021-08-02,19408.178518414516,113653.78541374207,133061.9639321566,20.965421756505993,8
2021-08-09,19408.178518414516,116442.80499076843,135850.98350918296,23.500894099257234,8
2021-08-16,19408.178518414516,117140.31782722473,136548.49634563926,24.13499667785387,8
2021-08-23,29927.83386326315,99574.12995910645,129501.9638223696,17.729058020335994,7
2021-08-30,1829.484528632187,136880.38491049767,138709.86943912986,26.099881308299878,9
2021-09-06,14763.081612906479,119376.80275154114,134139.88436444761,21.945349422225107,8
2021-09-13,14763.081612906479,119143.2487411499,133906.33035405638,21.733027594596706,8
2021-09-20,14763.081612906479,124399.22552490234,139162.30713780882,26.511188307098926,8
2021-09-27,14763.081612906479,131775.05432891846,146538.13594182493,33.21648721984085,8
2021-10-04,12.969576640152809,154336.7935777092,154349.76315434935,40.31796650395395,9
2021-10-11,12.969576640152809,157778.25267982483,157791.22225646497,43.446565687695426,9
2021-10-18,12.969576640152809,157217.40614509583,157230.37572173597,42.93670520157815,9
2021-10-25,4.8975348711264814,159373.9036865902,159378.80122146133,44.88981929223757,9
2021-11-01,4.8975348711264814,158878.11668395996,158883.0142188311,44.43910383530098,9
2021-11-08,4.8975348711264814,168090.68174552917,168095.5792804003,52.81416298218209,9
2021-11-15,4.8975348711264814,161602.9229106903,161607.82044556143,46.91620040505585,9
2021-11-22,4.8975348711264814,157210.8297138214,157215.72724869254,42.92338840790231,9
2021-11-29,11182.22084228995,144230.7396221161,155412.96046440603,41.28450951309639,8
