Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Distance_From_Support,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-07-19,GOOG,BUY,84,132.8269738769531,11157.46580566406,P1,110000.0,15.42942307942637,,,,,,
2021-07-19,ASML,BUY,16,668.8902038574219,10702.24326171875,P1,110000.0,12.67928243112707,,,,,,
2021-09-13,TSM,BUY,96,115.64835132598876,11102.24172729492,P1,113146.7997216797,12.433930731762047,,,,,,
2021-09-13,MRVL,BUY,183,60.990808086395255,11161.31787981033,P1,113146.7997216797,13.699534323501423,,,,,,
2021-10-04,TSM,SELL,96,102.75383056640625,9864.367734375,N2,119216.45589811326,,2021-09-13,115.64835132598876,P1,21.0,-1237.87399291992,-11.149766176290328
2021-10-04,NVDA,BUY,531,21.009856100082395,11156.233589143752,P1,109252.44808561326,13.883190478800053,,,,,,
2021-11-01,PLTR,BUY,425,26.2681991481781,11163.984637975691,P1,115289.17272934914,15.803703160236527,,,,,,
2021-11-08,TSM,BUY,100,111.24123390197752,11124.123390197752,P1,118635.33302125931,8.96476793944457,,,,,,
2021-11-15,PLTR,SELL,425,22.601699924468996,9605.722467899323,N2,127546.71966037751,,2021-11-01,26.2681991481781,P1,14.0,-1558.2621700763684,-13.957939038860234
2022-01-17,AMD,BUY,80,138.93320495605468,11114.656396484374,P1,117371.38568553925,15.064291358139196,,,,,,
2022-01-24,ASML,SELL,16,661.05896484375,10576.9434375,N2,119484.84079067232,,2021-07-19,668.8902038574219,P1,189.0,-125.29982421874956,-1.1707809396086066
2022-01-24,TSLA,BUY,34,319.3528312683105,10857.996263122557,P1,108801.05954067232,6.121414309831176,,,,,,
2022-02-28,TSM,SELL,100,102.87368316650391,10287.36831665039,N2,116446.31158573151,,2021-11-08,111.24123390197752,P1,112.0,-836.7550735473615,-7.521986624893834
2022-03-14,GOOG,SELL,84,128.20915420532228,10769.568953247071,N2,112873.94851688386,,2021-07-19,132.8269738769531,P1,238.0,-387.8968524169886,-3.4765677007056004
2022-03-14,MRVL,SELL,183,61.45743438720703,11246.710492858887,N2,113242.3065317154,,2021-09-13,60.990808086395255,P1,182.0,85.39261304855609,0.7650764360275276
