Date,Cash,Positions_Value,Portfolio_Value,Return_%,Position_Count
2021-07-19,106655.54898071289,3344.4510192871094,110000.0,0.0,1
2021-07-26,106655.54898071289,3344.4510192871094,110000.0,0.0,1
2021-08-02,106655.54898071289,3344.4510192871094,110000.0,0.0,1
2021-08-09,106655.54898071289,3344.4510192871094,110000.0,0.0,1
2021-08-16,106655.54898071289,3344.4510192871094,110000.0,0.0,1
2021-08-23,103308.32827026368,6691.671729736328,110000.0,0.0,2
2021-08-30,103308.32827026368,6691.671729736328,110000.0,0.0,2
2021-09-06,103308.32827026368,6691.671729736328,110000.0,0.0,2
2021-09-13,96776.67079647066,13223.329203529356,110000.00000000001,1.3229013843969865e-14,4
2021-09-20,96776.67079647066,13223.329203529356,110000.00000000001,1.3229013843969865e-14,4
2021-09-27,96776.67079647066,13223.329203529356,110000.00000000001,1.3229013843969865e-14,4
2021-10-04,96313.21093241693,13325.742486314772,109638.9534187317,-0.32822416478936,4
2021-10-11,96313.21093241693,13325.742486314772,109638.9534187317,-0.32822416478936,4
2021-10-18,96313.21093241693,13325.742486314772,109638.9534187317,-0.32822416478936,4
2021-10-25,96313.21093241693,13325.742486314772,109638.9534187317,-0.32822416478936,4
2021-11-01,96313.21093241693,13325.742486314772,109638.9534187317,-0.32822416478936,4
2021-11-08,87426.00923731805,22212.944181413648,109638.9534187317,-0.32822416478936,6
2021-11-15,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2021-11-22,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2021-11-29,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2021-12-06,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2021-12-13,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2021-12-20,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2021-12-27,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2022-01-03,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2022-01-10,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2022-01-17,90273.82342780115,18887.80418141365,109161.6276092148,-0.762156718895633,5
2022-01-24,88150.12012045863,20972.351293687818,109122.47141414645,-0.7977532598668634,5
2022-01-31,88150.12012045863,20972.351293687818,109122.47141414645,-0.7977532598668634,5
2022-02-07,88150.12012045863,20972.351293687818,109122.47141414645,-0.7977532598668634,5
2022-02-14,88150.12012045863,20972.351293687818,109122.47141414645,-0.7977532598668634,5
2022-02-21,88150.12012045863,20972.351293687818,109122.47141414645,-0.7977532598668634,5
2022-02-28,93293.80427878382,15410.28959858894,108704.09387737277,-1.178096475115665,4
2022-03-07,93293.80427878382,15410.28959858894,108704.09387737277,-1.178096475115665,4
2022-03-14,107624.06591433528,0.0,107624.06591433528,-2.159940077877016,0
2022-03-21,107624.06591433528,0.0,107624.06591433528,-2.159940077877016,0
2022-03-28,107624.06591433528,0.0,107624.06591433528,-2.159940077877016,0
