Date,Cash,Positions_Value,Portfolio_Value,Return_%,Position_Count
2021-07-19,110000.0,0.0,110000.0,0.0,0
2021-07-26,110000.0,0.0,110000.0,0.0,0
2021-08-02,110000.0,0.0,110000.0,0.0,0
2021-08-09,110000.0,0.0,110000.0,0.0,0
2021-08-16,110000.0,0.0,110000.0,0.0,0
2021-08-23,110000.0,0.0,110000.0,0.0,0
2021-08-30,110000.0,0.0,110000.0,0.0,0
2021-09-06,110000.0,0.0,110000.0,0.0,0
2021-09-13,110000.0,0.0,110000.0,0.0,0
2021-09-20,110000.0,0.0,110000.0,0.0,0
2021-09-27,110000.0,0.0,110000.0,0.0,0
2021-10-04,110000.0,0.0,110000.0,0.0,0
2021-10-11,110000.0,0.0,110000.0,0.0,0
2021-10-18,110000.0,0.0,110000.0,0.0,0
2021-10-25,110000.0,0.0,110000.0,0.0,0
2021-11-01,110000.0,0.0,110000.0,0.0,0
2021-11-08,110000.0,0.0,110000.0,0.0,0
2021-11-15,110000.0,0.0,110000.0,0.0,0
2021-11-22,110000.0,0.0,110000.0,0.0,0
2021-11-29,110000.0,0.0,110000.0,0.0,0
2021-12-06,110000.0,0.0,110000.0,0.0,0
2021-12-13,110000.0,0.0,110000.0,0.0,0
2021-12-20,110000.0,0.0,110000.0,0.0,0
2021-12-27,110000.0,0.0,110000.0,0.0,0
2022-01-03,110000.0,0.0,110000.0,0.0,0
2022-01-10,110000.0,0.0,110000.0,0.0,0
2022-01-17,110000.0,0.0,110000.0,0.0,0
2022-01-24,110000.0,0.0,110000.0,0.0,0
2022-01-31,110000.0,0.0,110000.0,0.0,0
2022-02-07,110000.0,0.0,110000.0,0.0,0
2022-02-14,110000.0,0.0,110000.0,0.0,0
2022-02-21,110000.0,0.0,110000.0,0.0,0
2022-02-28,110000.0,0.0,110000.0,0.0,0
2022-03-07,110000.0,0.0,110000.0,0.0,0
2022-03-14,110000.0,0.0,110000.0,0.0,0
2022-03-21,110000.0,0.0,110000.0,0.0,0
2022-03-28,110000.0,0.0,110000.0,0.0,0
2022-04-04,110000.0,0.0,110000.0,0.0,0
2022-04-11,110000.0,0.0,110000.0,0.0,0
2022-04-18,110000.0,0.0,110000.0,0.0,0
2022-04-25,110000.0,0.0,110000.0,0.0,0
2022-05-02,110000.0,0.0,110000.0,0.0,0
2022-05-09,110000.0,0.0,110000.0,0.0,0
2022-05-16,110000.0,0.0,110000.0,0.0,0
2022-05-23,110000.0,0.0,110000.0,0.0,0
2022-05-30,110000.0,0.0,110000.0,0.0,0
2022-06-06,110000.0,0.0,110000.0,0.0,0
2022-06-13,110000.0,0.0,110000.0,0.0,0
2022-06-20,110000.0,0.0,110000.0,0.0,0
2022-06-27,110000.0,0.0,110000.0,0.0,0
2022-07-04,110000.0,0.0,110000.0,0.0,0
2022-07-11,110000.0,0.0,110000.0,0.0,0
2022-07-18,110000.0,0.0,110000.0,0.0,0
