Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-01-04,TSLA,BUY,32,238.7516775512695,7640.053681640624,P1,110000.0,,,,,,
2021-01-04,DIS,BUY,43,179.6666312408447,7725.665143356322,P1,110000.0,,,,,,
2021-01-04,LLY,BUY,48,162.62896972656247,7806.190546874999,P1,110000.0,,,,,,
2021-01-04,AVGO,BUY,195,39.98015243530273,7796.129724884032,P1,110000.0,,,,,,
2021-01-04,ORCL,BUY,127,61.082944240570065,7757.533918552398,P1,110000.0,,,,,,
2021-01-04,NFLX,BUY,142,54.884096889495844,7793.54175830841,P1,110000.0,,,,,,
2021-01-04,AAPL,BUY,59,131.10491523742675,7735.189999008178,P1,110000.0,,,,,,
2021-10-25,DIS,SELL,43,163.8668133544922,7046.272974243165,N2,129904.88237474443,2021-01-04,179.6666312408447,P1,294.0,-679.3921691131573,-8.793963451773468
2021-10-25,NSC,BUY,32,265.22233734130856,8487.114794921874,P1,122787.43492601396,,,,,,
2022-01-17,NFLX,SELL,142,52.04331024169922,7390.150054321289,N2,131421.2335444832,2021-01-04,54.884096889495844,P1,378.0,-403.3917039871212,-5.1759741141706215
2022-01-17,SLB,BUY,251,35.0762021446228,8804.126738300321,P1,123956.43550981522,,,,,,
2022-01-24,ORCL,SELL,127,77.17570106506348,9801.314035263062,N2,129355.80381034852,2021-01-04,61.082944240570065,P1,385.0,2043.7801167106636,26.3457451577865
2022-01-24,XOM,BUY,133,63.55150861740112,8452.350646114348,P1,119455.48660301209,,,,,,
2022-03-14,TSLA,SELL,32,262.46550201416017,8398.896064453125,N2,130524.19754869462,2021-01-04,238.7516775512695,P1,434.0,758.8423828125015,9.93242213253072
2022-03-14,CVX,BUY,58,149.15576469421384,8651.034352264403,P1,122040.46415025712,,,,,,
2022-05-16,NSC,SELL,32,228.01667129516602,7296.533481445313,N2,129684.09871644975,2021-10-25,265.22233734130856,P1,203.0,-1190.5813134765613,-14.028104276248579
2022-05-16,AAPL,SELL,59,143.03809616088867,8439.247673492431,N2,130753.11055009843,2021-01-04,131.10491523742675,P1,497.0,704.0576744842529,9.102008801005903
2022-05-16,MRK,BUY,106,81.8615636062622,8677.325742263793,P1,122228.61795061112,,,,,,
2022-05-16,KO,BUY,145,59.652653961181635,8649.634824371336,P1,122228.61795061112,,,,,,
2022-06-20,AVGO,SELL,195,46.03831203460693,8977.470846748352,N2,125897.96877637864,2021-01-04,39.98015243530273,P1,532.0,1181.3411218643205,15.152917711126118
2022-06-20,VRTX,BUY,31,267.03634628295896,8278.126734771728,P1,116829.81640592575,,,,,,
2022-07-11,SLB,SELL,251,31.264511489868163,7847.392383956909,N2,127805.50265981676,2022-01-17,35.0762021446228,P1,175.0,-956.7343543434126,-10.866885300291743
2022-07-11,CI,BUY,31,266.31901931762695,8255.889598846436,P1,119878.84368612291,,,,,,
2022-10-03,KO,SELL,145,50.3182878112793,7296.151732635498,N2,125515.2293626976,2022-05-16,59.652653961181635,P1,140.0,-1353.4830917358386,-15.647863975970926
2022-10-03,REGN,BUY,12,695.3465530395507,8344.158636474609,P1,118145.37912771225,,,,,,
2023-03-13,CI,SELL,31,259.44939788818357,8042.9313345336905,N2,132122.6431053734,2022-07-11,266.31901931762695,P1,245.0,-212.9582643127451,-2.5794708342817585
2023-03-13,GE,BUY,121,72.66519371032715,8792.488438949584,P1,123998.47004018785,,,,,,
2023-03-20,CVX,SELL,58,134.13327758789063,7779.730100097657,N2,130903.50338071823,2022-03-14,149.15576469421384,P1,371.0,-871.3042521667467,-10.071677173940284
2023-03-20,AMD,BUY,88,99.30759628295897,8739.06847290039,P1,123045.19014829636,,,,,,
2023-07-10,REGN,SELL,12,681.7444299316406,8180.933159179687,N2,141706.03347990036,2022-10-03,695.3465530395507,P1,280.0,-163.2254772949218,-1.9561645985662162
2023-07-10,TSLA,BUY,34,278.5464425659179,9470.579047241208,P1,133442.4646322441,,,,,,
2023-07-17,XOM,SELL,133,91.6175390625,12185.1326953125,N2,146061.15067319872,2022-01-24,63.55150861740112,P1,539.0,3732.782049198153,44.16265019618134
2023-07-17,SLB,BUY,174,54.33598821640014,9454.461949653623,P1,133752.9358294487,,,,,,
2023-10-02,MRK,SELL,106,94.93046493530274,10062.62928314209,N2,145396.62156503677,2022-05-16,81.8615636062622,P1,504.0,1385.303540878298,15.964636825042042
2023-10-02,UNH,BUY,19,490.081821899414,9311.554616088866,P1,135232.34956186294,,,,,,
2023-12-11,SLB,SELL,174,45.67870891571045,7948.095351333619,N2,148431.79633348467,2023-07-17,54.33598821640014,P1,147.0,-1506.3665983200044,-15.93286435908912
2023-12-11,BA,BUY,40,248.3704969024658,9934.81987609863,P1,140403.4171907234,,,,,,
2024-01-15,TSLA,SELL,34,216.70109939575195,7367.837379455566,N2,152322.02182176593,2023-07-10,278.5464425659179,P1,189.0,-2102.7416677856418,-22.202883871162797
2024-01-15,NVDA,BUY,185,55.49972406387329,10267.448951816557,P1,144879.76184251788,,,,,,
