Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Distance_From_Support,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-07-19,ASML,BUY,16,668.8902038574219,10702.24326171875,P1,110000.0,12.67928243112707,,,,,,
2021-09-13,TSM,BUY,96,115.64835132598876,11102.24172729492,P1,112471.64736328126,12.433930731762047,,,,,,
2021-09-13,GOOG,BUY,78,142.97746948242187,11152.242619628905,P1,112471.64736328126,12.20257840355526,,,,,,
2021-10-04,TSM,SELL,96,102.75383056640625,9864.367734375,N2,118814.83330200196,,2021-09-13,115.64835132598876,P1,21.0,-1237.87399291992,-11.149766176290328
2021-10-04,MRVL,BUY,187,59.65473318099975,11155.435104846953,P1,108850.82548950196,11.766680376028889,,,,,,
2021-11-08,PLTR,BUY,423,26.389999999999997,11162.97,P1,113544.66572187425,11.461536700908955,,,,,,
2021-11-08,TSM,BUY,100,111.24123390197752,11124.123390197752,P1,113544.66572187425,8.96476793944457,,,,,,
2021-11-15,PLTR,SELL,423,22.601699924468996,9560.519068050386,N2,121918.10215145112,,2021-11-08,26.389999999999997,P1,7.0,-1602.4509319496137,-14.355059020579771
2022-01-24,ASML,SELL,16,661.05896484375,10576.9434375,N2,119341.0548872757,,2021-07-19,668.8902038574219,P1,189.0,-125.29982421874956,-1.1707809396086066
2022-01-24,TSLA,BUY,34,319.3528312683105,10857.996263122557,P1,108657.2736372757,6.121414309831176,,,,,,
2022-02-28,TSM,SELL,100,102.87368316650391,10287.36831665039,N2,115666.23402393342,,2021-11-08,111.24123390197752,P1,112.0,-836.7550735473615,-7.521986624893834
2022-03-14,GOOG,SELL,78,128.20915420532228,10000.314028015138,N2,113756.18075000764,,2021-09-13,142.97746948242187,P1,182.0,-1151.928591613767,-10.329120616388614
2022-03-14,MRVL,SELL,187,61.45743438720703,11492.540230407714,N2,115147.39367938996,,2021-10-04,59.65473318099975,P1,161.0,337.10512556076173,3.02189132375744
2022-03-14,TSLA,SELL,34,262.46550201416017,8923.827068481445,N2,112462.59425251008,,2022-01-24,319.3528312683105,P1,49.0,-1934.169194641112,-17.81331608309912
2022-04-04,GOOG,BUY,78,141.74737670898435,11056.29538330078,P1,103448.62751667024,11.412974465787308,,,,,,
2022-04-18,GOOG,SELL,78,125.04262252807617,9753.32455718994,N2,111997.49967761996,,2022-04-04,141.74737670898435,P1,14.0,-1302.970826110839,-11.784877130533447
2023-03-13,ASML,BUY,18,595.035510559082,10710.639190063477,P1,102145.65669055941,12.199695810650276,,,,,,
2023-04-10,TSM,BUY,127,87.87030754089355,11159.52905769348,P1,102968.69438037874,11.112094653568926,,,,,,
2023-08-14,GOOG,BUY,85,131.1390036010742,11146.815306091306,P1,103205.67582073214,11.016375207742907,,,,,,
2023-08-14,AMD,BUY,102,109.18354969024656,11136.72206840515,P1,103205.67582073214,6.9907935896631175,,,,,,
2023-08-28,MRVL,BUY,207,53.841501731872555,11145.190858497619,P1,102323.38943805697,2.336448598130841,,,,,,
2023-08-28,PLTR,BUY,757,14.747949728965757,11164.197944827078,P1,102323.38943805697,6.675838480253986,,,,,,
2023-09-11,NVDA,BUY,241,46.22576480865478,11140.409318885802,P1,103016.79705101493,12.014620594472305,,,,,,
2023-09-18,ASML,SELL,18,578.9596618652344,10421.273913574218,N2,111847.70751266959,,2023-03-13,595.035510559082,P1,189.0,-289.3652764892595,-2.7016620703432035
2023-09-25,TSM,SELL,127,82.10171997070313,10426.918436279297,N2,108260.3329353762,,2023-04-10,87.87030754089355,P1,168.0,-732.6106214141837,-6.564888335580034
2023-10-30,MRVL,SELL,207,46.44247089385986,9613.591475028992,N2,106123.60850101951,,2023-08-28,53.841501731872555,P1,63.0,-1531.599383468627,-13.742244551163187
2024-04-15,MRVL,BUY,157,70.82170398712158,11119.007525978088,P1,123492.09684521201,9.62558148966375,,,,,,
2024-04-22,TSM,BUY,88,126.61913593292235,11142.483962097167,P1,115531.39368248466,12.173400096561329,,,,,,
2024-04-22,ASML,BUY,13,858.7935195922851,11164.315754699706,P1,115531.39368248466,0.9098478115972854,,,,,,
2024-07-29,AMD,SELL,102,138.59010543823243,14136.190754699708,N2,147678.94508453849,,2023-08-14,109.18354969024656,P1,350.0,2999.468686294558,26.933137667178052
2024-08-05,MRVL,SELL,157,58.38420993804932,9166.320960273742,N2,136253.631086545,,2024-04-15,70.82170398712158,P1,112.0,-1952.6865657043454,-17.561698390275858
2024-08-05,ASML,SELL,13,791.8344360351563,10293.847668457032,N2,137288.5686941195,,2024-04-22,858.7935195922851,P1,105.0,-870.468086242674,-7.79687806551193
2025-02-17,TSLA,BUY,30,361.177596282959,10835.32788848877,P1,212359.30516529563,8.638711373295317,,,,,,
2025-02-17,ALAB,BUY,125,89.1677484512329,11145.968556404112,P1,212359.30516529563,9.447917548693297,,,,,,
2025-03-10,NVDA,SELL,241,111.53260299682617,26879.357322235108,N2,198003.80560257437,,2023-09-11,46.22576480865478,P1,546.0,15738.948003349306,141.27800471987882
2025-03-10,TSLA,SELL,30,260.043313293457,7801.299398803711,N2,178654.23901932244,,2025-02-17,361.177596282959,P1,21.0,-3034.028489685059,-28.00126143767508
2025-03-10,ALAB,SELL,125,66.25079818725585,8281.349773406982,N2,179055.4883898974,,2025-02-17,89.1677484512329,P1,21.0,-2864.6187829971295,-25.700940824485034
2025-03-17,GOOG,SELL,85,165.48858489990235,14066.5297164917,N2,184830.26268188958,,2023-08-14,131.1390036010742,P1,581.0,2919.714410400393,26.193260857250237
2025-03-17,TSM,SELL,88,170.0576971435547,14965.077348632813,N2,185586.72415527824,,2024-04-22,126.61913593292235,P1,329.0,3822.5933865356455,34.30647420753551
2025-09-01,ASML,BUY,14,752.4243817138671,10533.94134399414,P1,223816.2811087084,7.963698570634686,,,,,,
2025-09-01,TSM,BUY,47,232.9671718597412,10949.457077407837,P1,223816.2811087084,12.702786500648225,,,,,,
2025-09-29,NVDA,BUY,61,180.85278549194334,11032.019915008543,P1,244234.91856071952,11.705975922198599,,,,,,
2025-11-10,ALAB,BUY,66,167.9723555755615,11086.17546798706,P1,246507.58953316216,10.260444995289774,,,,,,
2025-12-22,MRVL,BUY,130,85.28997638702391,11087.696930313108,P1,258229.5966976214,12.45093645407852,,,,,,
