Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
A,113.26593780517578,36.69925528293534,1854016.6666666667,37.46196900706134,32.61352839066181,54.656531477083135,4.650482997804571,20.618999,26.384002000000002,0.52559,9.4,41053696000,Healthcare,False
AAPL,130.17002868652344,46.78091222738867,157796583.33333334,79.62350082538828,47.41939848665171,72.2262229549334,10.807963017932952,171.42199,31.647,1.52411,7.9,3813037572096,Technology,True
ABBV,86.62450408935547,34.96225749175165,9462549.603174603,24.062170252934337,9.22927778908697,36.42182247963334,7.07158756718766,137.961,35.497,,9.1,382886379520,Healthcare,True
ABT,99.07518005371094,39.36942105322639,6718530.158730159,26.681594161205428,18.4255058215163,64.44132219182134,-0.3140139014503453,30.620000000000005,19.395,0.2531,6.9,214911877120,Healthcare,True
ADBE,497.45001220703125,48.086944874088225,3079301.984126984,48.74563379525965,12.303871429746602,59.55936487941476,3.816578897075895,55.425999999999995,36.503,0.57197,10.5,128944070656,Technology,True
ADI,133.95535278320312,50.214837816141575,2940360.3174603176,23.884579549210965,21.73084441545463,63.51347757692048,8.235539248322016,6.5729999999999995,30.501,0.265,25.900000000000002,147948994560,Technology,True
ADP,156.67539978027344,44.66133746122918,2250287.698412698,4.5312510180413215,16.853386193384388,52.57154575194378,3.295934660507248,70.572996,25.891,1.54917,7.1,105416450048,Technology,True
ADSK,299.4100036621094,50.4865097939987,1680217.4603174604,59.40478131465722,24.676248707784172,71.3979670637674,11.43233955756822,40.333998,25.688,0.9450400000000001,18.0,55820910592,Technology,False
AEE,66.47189331054688,43.28963437993385,1606075.0,3.8146127287528433,6.471475975219724,45.20233020338215,-3.1984193726621375,11.387,34.0,1.5573599999999999,24.8,27901550592,Utilities,False
AEP,67.87315368652344,38.573380483103655,3145892.8571428573,-9.93259627306806,0.409934593310346,40.45662665925871,-5.379248744034332,12.923001000000001,25.885,1.52132,10.9,63900004352,Utilities,True
AFL,39.177974700927734,58.239696468759725,4046538.492063492,-15.214885792841667,26.57546243500854,39.85366121160369,5.54919249917385,15.58,43.269999999999996,0.50003,60.699999999999996,58585440256,Financial Services,True
AIG,33.47683334350586,71.28933889860426,6996319.047619048,-24.407311439946337,27.833794454585703,29.17732379043413,2.978844036671276,7.688000000000001,15.235000000000001,0.2248,-4.1000000000000005,41001824256,Financial Services,True
AJG,115.39881134033203,40.44343856864787,1030125.7936507936,29.596017927721906,26.039122279810623,61.53007732517419,5.743441673228637,9.0670004,17.212,0.58979,20.0,65700986880,Financial Services,False
ALB,140.7071533203125,61.693310111501795,1484991.6666666667,109.08022476151824,91.30079225435203,60.42427190996971,20.008289115777323,0.209,-2.244,0.36655,-3.5000000000000004,20455243776,Basic Materials,False
ALGN,524.3200073242188,71.69130331633828,920360.7142857143,84.82798253716318,87.3039763665101,62.14113471950498,9.262197578396773,9.5769994,15.673,0.03064,1.7999999999999998,12424525824,Healthcare,False
ALL,95.63358306884766,43.04873837185448,2054909.5238095238,-2.056366355525759,16.218104860752096,68.9744656186258,8.957057028269602,34.469001999999996,24.439,0.2943,3.8,51496845312,Financial Services,True
AMAT,83.29598236083984,59.0907561237473,8300647.222222222,41.72569647996768,43.488453852538136,46.188786239912325,13.50318588542997,35.508,28.441,0.34533,-3.5000000000000004,254136909824,Technology,True
AMD,92.29000091552734,60.97001057214734,61718450.0,87.9633478281475,76.32785755917536,57.68750080466309,6.435245159652453,5.317,13.736,0.06366,35.6,370933006336,Technology,True
AMGN,194.0781707763672,38.4432176592648,2806983.73015873,-2.770048014481553,-10.840614727024144,45.02221945041195,0.19702386698396776,81.71000000000001,34.153,5.67491,12.4,177817075712,Healthcare,True
AMT,190.2599334716797,43.981918024737375,2080276.5873015872,-1.7446120732961496,-15.730705371952745,54.86995495320066,-3.7471840075988037,28.839,45.477000000000004,4.180899999999999,7.7,85057830912,Real Estate,True
AMZN,164.29249572753906,38.57137510697255,98776468.25396825,73.12079511219653,13.685428101871674,72.38992925259322,3.5789030258344963,24.326999999999998,11.057,0.43405,13.4,2544698916864,Consumer Cyclical,True
ANET,18.059999465942383,49.04377027106468,12336666.666666666,41.14888126810733,37.26663768721664,65.51157918577657,10.34735328498602,31.735999999999997,42.378,,27.500000000000004,164500422656,Technology,True
AON,199.1397705078125,39.88533463387894,1532861.111111111,-0.08348818138854358,8.467394308106908,49.394650451812325,2.015709396058862,37.69,20.365,2.1488,7.3999999999999995,74290905088,Financial Services,False
APD,238.3145294189453,44.046673094076226,1220198.4126984128,19.26473509110726,10.072682508125501,51.06979527709141,-2.274550924697606,-1.923,-89.169,1.06228,-0.6,59083644928,Basic Materials,False
APH,30.996845245361328,40.994463031527054,6366855.555555556,20.110661657348412,36.05997354866576,37.15642641057781,3.6980754488758483,34.807998,27.481002,0.6399,53.400000000000006,188798337024,Technology,True
APTV,130.7899932861328,72.07763036859701,2014355.1587301588,36.14644905034889,70.27730431362265,72.20126667373627,14.325117849615898,3.2939999999999996,11.4350006,0.85425,7.3999999999999995,17978249216,Consumer Cyclical,True
ARE,142.4703826904297,42.06355263843475,914628.1746031746,12.572306055198649,7.459723919813829,64.15119498546244,6.535746002836731,-1.084,19.073,0.66083,-5.0,9781462016,Real Estate,False
