Date,Cash,Positions_Value,Portfolio_Value,Return_%,Position_Count
2021-07-19,110000.0,0.0,110000.0,0.0,0
2021-07-26,110000.0,0.0,110000.0,0.0,0
2021-08-02,110000.0,0.0,110000.0,0.0,0
2021-08-09,110000.0,0.0,110000.0,0.0,0
2021-08-16,110000.0,0.0,110000.0,0.0,0
2021-08-23,110000.0,0.0,110000.0,0.0,0
2021-08-30,110000.0,0.0,110000.0,0.0,0
2021-09-06,110000.0,0.0,110000.0,0.0,0
2021-09-13,110000.0,0.0,110000.0,0.0,0
2021-09-20,98880.59957504272,11119.400424957274,110000.0,0.0,1
2021-09-27,98880.59957504272,10758.766174316406,109639.36574935913,-0.3278493187644265,1
2021-10-04,87193.02850646974,21962.95412521362,109155.98263168335,-0.7672885166515003,2
2021-10-11,87193.02850646974,21761.343704223633,108954.37221069337,-0.9505707175514809,2
2021-10-18,87193.02850646974,22741.792190551758,109934.8206970215,-0.05925391179863999,2
2021-10-25,87193.02850646974,22662.957412719727,109855.98591918946,-0.13092189164594112,2
2021-11-01,87193.02850646974,23609.690826416016,110802.71933288575,0.729744848077958,2
2021-11-08,76068.90511627198,35334.00144195557,111402.90655822755,1.2753695983886826,3
2021-11-15,76068.90511627198,35351.6828918457,111420.58800811769,1.291443643743352,3
2021-11-22,76068.90511627198,35974.44868469238,112043.35380096437,1.857594364513061,3
2021-11-29,76068.90511627198,33649.36573791504,109718.27085418702,-0.25611740528452426,3
2021-12-06,76068.90511627198,33683.437072753906,109752.34218902589,-0.2251434645219177,3
2021-12-13,76068.90511627198,34308.416915893555,110377.32203216554,0.34302002924139907,3
2021-12-20,76068.90511627198,33158.74005126953,109227.64516754152,-0.7021407567804404,3
2021-12-27,76068.90511627198,34658.005279541016,110726.910395813,0.6608276325572726,3
2022-01-03,76068.90511627198,34349.442474365234,110418.34759063722,0.38031599148838063,3
2022-01-10,76068.90511627198,33453.144790649414,109522.0499069214,-0.4345000846169106,3
2022-01-17,76068.90511627198,35113.11752319336,111182.02263946534,1.0745660358775853,3
2022-01-24,63968.3699019623,44109.2148072052,108077.58470916751,-1.7476502643931733,4
2022-01-31,63968.3699019623,41344.84370422363,105313.21360618593,-4.260714903467332,4
2022-02-07,63968.3699019623,44042.031814575195,108010.4017165375,-1.8087257122386389,4
2022-02-14,63968.3699019623,42137.80499267578,106106.17489463808,-3.53984100487447,4
2022-02-21,63968.3699019623,41551.81230163574,105520.18220359804,-4.072561633092688,4
2022-02-28,74255.73821861269,30411.1954498291,104666.9336684418,-4.848242119598369,3
2022-03-07,74255.73821861269,29731.368797302246,103987.10701591494,-5.4662663491682375,3
2022-03-14,103028.95167335513,0.0,103028.95167335513,-6.3373166605862465,0
2022-03-21,103028.95167335513,0.0,103028.95167335513,-6.3373166605862465,0
2022-03-28,103028.95167335513,0.0,103028.95167335513,-6.3373166605862465,0
