threshold,name,final_value,total_return_pct,cagr,max_drawdown,win_rate,total_trades,avg_trades_per_year
5,Very Conservative,0,0,0,0,0,0,0.0
10,Conservative (Current),0,0,0,0,0,0,0.0
15,Moderate,0,0,0,0,0,0,0.0
20,Aggressive,0,0,0,0,0,0,0.0
999,No Filter,0,0,0,0,0,0,0.0
