Date,Ticker,Action,Shares,Price,Value,State,Portfolio_Value,Distance_From_Support,Entry_Date,Entry_Price,Entry_State,Hold_Days,PnL_$,PnL_%
2021-07-19,ASML,BUY,1,668.8902038574219,668.8902038574219,P1,110000.0,12.67928243112707,,,,,,
2021-09-13,GOOG,BUY,8,142.97746948242187,1143.819755859375,P1,110000.0,12.20257840355526,,,,,,
2021-09-13,TSM,BUY,10,115.64835132598876,1156.4835132598876,P1,110000.0,12.433930731762047,,,,,,
2021-10-04,TSM,SELL,10,102.75383056640625,1027.5383056640626,N2,111027.53830566406,,2021-09-13,115.64835132598876,P1,21.0,-128.94520759582497,-11.149766176290324
2021-10-04,MRVL,BUY,21,59.65473318099975,1252.7493968009946,P1,109871.05479240417,11.766680376028889,,,,,,
2021-11-08,TSM,BUY,18,111.24123390197752,2002.3422102355953,P1,109871.05479240417,8.96476793944457,,,,,,
2021-11-08,PLTR,BUY,47,26.389999999999997,1240.33,P1,109871.05479240417,11.461536700908955,,,,,,
2021-11-15,PLTR,SELL,47,22.601699924468996,1062.2798964500428,N2,110933.33468885421,,2021-11-08,26.389999999999997,P1,7.0,-178.05010354995716,-14.355059020579777
2022-01-24,ASML,SELL,1,661.05896484375,661.05896484375,N2,110354.06365369796,,2021-07-19,668.8902038574219,P1,189.0,-7.831239013671848,-1.1707809396086066
2022-01-24,TSLA,BUY,87,319.3528312683105,27783.696320343017,P1,109685.17344984053,6.121414309831176,,,,,,
2022-02-28,TSM,SELL,18,102.87368316650391,1851.7262969970704,N2,111536.8997468376,,2021-11-08,111.24123390197752,P1,112.0,-150.61591323852485,-7.521986624893824
2022-03-14,GOOG,SELL,8,128.20915420532228,1025.6732336425782,N2,110560.23077024458,,2021-09-13,142.97746948242187,P1,182.0,-118.14652221679671,-10.329120616388623
2022-03-14,MRVL,SELL,21,61.45743438720703,1290.6061221313475,N2,110707.01713651656,,2021-10-04,59.65473318099975,P1,161.0,37.8567253303529,3.0218913237574383
2022-03-14,TSLA,SELL,87,262.46550201416017,22834.498675231935,N2,132288.7664149475,,2022-01-24,319.3528312683105,P1,49.0,-4949.197645111082,-17.813316083099124
2022-04-04,GOOG,BUY,8,141.74737670898435,1133.9790136718748,P1,104505.07009460448,11.412974465787308,,,,,,
2022-04-18,GOOG,SELL,8,125.04262252807617,1000.3409802246093,N2,105505.41107482908,,2022-04-04,141.74737670898435,P1,14.0,-133.63803344726546,-11.784877130533442
2023-03-13,ASML,BUY,2,595.035510559082,1190.071021118164,P1,104371.4320611572,12.199695810650276,,,,,,
2023-04-10,TSM,BUY,14,87.87030754089355,1230.1843055725096,P1,104371.43206115722,11.112094653568926,,,,,,
2023-08-14,AMD,BUY,19,109.18354969024656,2074.487444114685,P1,104371.43206115722,6.9907935896631175,,,,,,
2023-08-14,GOOG,BUY,9,131.1390036010742,1180.2510324096677,P1,104371.43206115722,11.016375207742907,,,,,,
2023-08-28,MRVL,BUY,77,53.841501731872555,4145.795633354187,P1,104371.43206115723,2.336448598130841,,,,,,
2023-08-28,PLTR,BUY,141,14.747949728965757,2079.460911784172,P1,104371.43206115722,6.675838480253986,,,,,,
2023-09-11,NVDA,BUY,144,46.22576480865478,6656.5101324462885,P1,104371.43206115722,12.014620594472305,,,,,,
2023-09-18,ASML,SELL,2,578.9596618652344,1157.9193237304687,N2,105529.35138488769,,2023-03-13,595.035510559082,P1,189.0,-32.15169738769532,-2.7016620703431893
2023-09-25,TSM,SELL,14,82.10171997070313,1149.4240795898438,N2,105488.70444335937,,2023-04-10,87.87030754089355,P1,168.0,-80.76022598266582,-6.564888335580026
2023-10-30,MRVL,SELL,77,46.44247089385986,3576.0702588272093,N2,107834.59039661408,,2023-08-28,53.841501731872555,P1,63.0,-569.7253745269777,-13.742244551163202
2024-04-15,MRVL,BUY,29,70.82170398712158,2053.829415626526,P1,103688.79476325988,9.62558148966375,,,,,,
2024-04-22,ASML,BUY,4,858.7935195922851,3435.1740783691403,P1,103688.79476325988,0.9098478115972854,,,,,,
2024-04-22,TSM,BUY,9,126.61913593292235,1139.572223396301,P1,103688.79476325988,12.173400096561329,,,,,,
2024-07-29,AMD,SELL,19,138.59010543823243,2633.212003326416,N2,106322.0067665863,,2023-08-14,109.18354969024656,P1,350.0,558.724559211731,26.93313766717803
2024-08-05,MRVL,SELL,29,58.38420993804932,1693.1420882034301,N2,105940.66141067505,,2024-04-15,70.82170398712158,P1,112.0,-360.6873274230959,-17.56169839027587
2024-08-05,ASML,SELL,4,791.8344360351563,3167.337744140625,N2,107054.16973918914,,2024-04-22,858.7935195922851,P1,105.0,-267.83633422851517,-7.796878065511932
2025-02-17,TSLA,BUY,77,361.177596282959,27810.67491378784,P1,103618.99566082,8.638711373295317,,,,,,
2025-02-17,ALAB,BUY,23,89.1677484512329,2050.8582143783565,P1,103618.99566082,9.447917548693297,,,,,,
2025-03-10,NVDA,SELL,144,111.53260299682617,16060.694831542969,N2,119679.69049236296,,2023-09-11,46.22576480865478,P1,546.0,9404.18469909668,141.27800471987882
2025-03-10,TSLA,SELL,77,260.043313293457,20023.33512359619,N2,133046.51548351286,,2025-02-17,361.177596282959,P1,21.0,-7787.3397901916505,-28.001261437675073
2025-03-10,ALAB,SELL,23,66.25079818725585,1523.7683583068847,N2,106759.60892803191,,2025-02-17,89.1677484512329,P1,21.0,-527.0898560714718,-25.70094082448503
2025-03-17,GOOG,SELL,9,165.48858489990235,1489.3972640991212,N2,106198.14797775268,,2023-08-14,131.1390036010742,P1,581.0,309.14623168945354,26.193260857250255
2025-03-17,TSM,SELL,9,170.0576971435547,1530.5192742919921,N2,106548.41621963501,,2024-04-22,126.61913593292235,P1,329.0,390.94705089569106,34.30647420753552
2025-09-01,ASML,BUY,2,752.4243817138671,1504.8487634277342,P1,105408.84399623869,7.963698570634686,,,,,,
2025-09-01,TSM,BUY,5,232.9671718597412,1164.835859298706,P1,105408.84399623869,12.702786500648225,,,,,,
2025-09-29,NVDA,BUY,37,180.85278549194334,6691.553063201904,P1,105408.84399623869,11.705975922198599,,,,,,
2025-11-10,ALAB,BUY,7,167.9723555755615,1175.8064890289304,P1,105408.84399623869,10.260444995289774,,,,,,
2025-12-22,MRVL,BUY,14,85.28997638702391,1194.0596694183348,P1,105408.8439962387,12.45093645407852,,,,,,
