Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified,Composite_Score
AMD,92.29000091552734,60.97001057214734,61718450.0,87.9633478281475,76.32785755917536,57.68750080466309,6.435245159652453,5.317,13.736,0.06366,35.6,370933006336,Technology,True,72.07160296020126
AMT,190.2599334716797,43.981918024737375,2080276.5873015872,-1.7446120732961496,-15.730705371952745,54.86995495320066,-3.7471840075988037,28.839,45.477000000000004,4.180899999999999,7.7,85057830912,Real Estate,True,42.81493704692647
AMZN,164.29249572753906,38.57137510697255,98776468.25396825,73.12079511219653,13.685428101871674,72.38992925259322,3.5789030258344963,24.326999999999998,11.057,0.43405,13.4,2544698916864,Consumer Cyclical,True,55.64269908088816
ANET,18.059999465942383,49.04377027106468,12336666.666666666,41.14888126810733,37.26663768721664,65.51157918577657,10.34735328498602,31.735999999999997,42.378,,27.500000000000004,164500422656,Technology,True,71.7322556758981
APH,30.996845245361328,40.994463031527054,6366855.555555556,20.110661657348412,36.05997354866576,37.15642641057781,3.6980754488758483,34.807998,27.481002,0.6399,53.400000000000006,188798337024,Technology,True,62.50843642316046
APTV,130.7899932861328,72.07763036859701,2014355.1587301588,36.14644905034889,70.27730431362265,72.20126667373627,14.325117849615898,3.2939999999999996,11.4350006,0.85425,7.3999999999999995,17978249216,Consumer Cyclical,True,75.18173650320716
AVGO,39.11763000488281,51.373421545816825,24484650.793650795,41.037864466716,40.27743037137886,64.73715872150657,11.354525239526668,31.048,31.765,1.66032,16.400000000000002,1626019856384,Technology,True,72.3845580328287
AXP,112.0264892578125,64.38033589373539,5257925.0,-3.740801528028675,27.137534880805227,43.041773449641425,6.356451493735491,33.935001,22.052999,1.85273,12.2,248767447040,Financial Services,True,64.59526149064851
BA,216.6699981689453,87.74597852040485,28484836.111111112,-34.60964777764576,19.832974445304487,19.059121494145884,9.095503747877851,,-20.4,,30.4,193958920192,Industrials,True,59.9853612083656
BAC,26.5693416595459,58.81223564837374,68202924.6031746,-13.625055627562302,30.429356426498217,62.24069891738533,10.1463990761699,9.871,35.292998,,12.6,383709609984,Financial Services,True,71.46742598154465
BAX,71.17356872558594,37.05650898550551,3132088.888888889,-6.719383476897682,-8.63289419211391,49.39166341325368,0.5174381101778318,-4.658,10.123,1.34627,5.0,10471317504,Healthcare,True,26.375822515941543
BK,36.08878707885742,48.861682345493364,5763422.619047619,-15.43730601691583,11.767587152927383,57.12033524850784,7.491118204640368,12.898000000000001,36.638,,7.8,86408536064,Financial Services,True,61.06506463320183
BKR,18.66539192199707,70.56690513597727,7070692.857142857,-13.617218366035837,40.741766116238175,31.18812067096171,13.795770179871965,16.89,13.524,0.33042,1.5,51302375424,Energy,True,73.12961649619272
BMY,50.373199462890625,29.734357896455005,13192633.333333334,0.06613214835516458,5.488040976392704,55.746993861062755,0.2723589619344599,33.777002,31.566,2.74414,2.8000000000000003,115213451264,Healthcare,True,54.06964069920376
BSX,35.54999923706055,44.49736749412898,10991698.80952381,-21.575120668303292,0.48049226628915037,64.31450031302057,1.2982103556269307,12.488000000000001,20.730999999999998,0.50973,20.3,133434605568,Healthcare,True,54.19950903150069
C,50.907569885253906,67.5695449719372,25050648.015873015,-22.05357434898206,23.12215181546652,57.757889331888,16.401418665518825,6.8309999999999995,21.562,,3.6999999999999997,216020172800,Financial Services,True,70.48054849987568
CAG,28.84389305114746,33.86878505672308,3686806.3492063493,10.273689362533418,3.4180920200045275,57.60878033410144,0.5141663626761181,-1.16,11.413,0.94229,-6.800000000000001,8311669760,Consumer Defensive,True,49.69230582588473
CAH,46.975067138671875,46.03677785621998,2528888.095238095,10.017270617106282,4.344050611588327,31.880083514027888,1.0339568156940255,,1.205,,22.400000000000002,50698031104,Healthcare,True,42.062323105535754
CAT,163.7113037109375,44.99882746168879,3886261.111111111,23.207100892055653,42.88776075740082,49.93893878263502,4.596221211029242,46.283,17.746000000000002,2.01046,9.5,303194865664,Industrials,True,67.04355206797328
CB,141.57261657714844,48.41905377302467,2273955.1587301586,-0.13174971042511563,22.412677210602553,48.89676928435311,4.915659177966618,13.639999999999999,25.623,0.30957999999999997,9.1,119890157568,Financial Services,True,56.263673661748186
CCI,124.0567855834961,42.80577458399176,2174230.9523809524,13.836751461676744,-6.910234545361906,47.70654392380304,-2.2818668292377216,-206.679,49.254,,-4.3,39367303168,Real Estate,True,24.985616883517693
CCL,21.790000915527344,121.28319599271215,45605743.65079365,-57.03699480588599,37.216629461557766,43.818684521683906,18.017272028806055,25.632998,11.5959994,2.27882,6.6000000000000005,38641209344,Consumer Cyclical,True,85.56760960873828
CFG,28.61664581298828,76.4529465343623,5500743.650793651,-7.988392210522946,53.475010152652935,46.93564883719289,9.63527859144233,6.7140006,32.026002,,13.600000000000001,26128965632,Financial Services,True,76.40682502962144
CI,186.674560546875,53.58272115517928,2116938.888888889,-0.413911489625513,7.118478923175029,32.58935919348336,1.1863666067204264,15.537999999999998,4.0,0.81021,9.5,74196869120,Healthcare,True,50.06240138503772
CMCSA,41.2559928894043,38.281530120058086,22709164.682539683,15.402425401184413,31.129697869723532,49.51650867793195,5.590689051994955,24.186,17.735,1.01462,-2.7,111732015104,Communication Services,True,59.28367736847803
CMG,27.483400344848633,49.84638654098832,24013293.65079365,60.12422358867997,30.074308873851844,64.81127381958134,4.476755233483348,44.958,16.134001,1.5457400000000001,7.5,54084595712,Consumer Cyclical,True,71.95698823147673
CMS,51.394222259521484,38.81583360990537,2031563.492063492,-0.3169835231754525,0.6436998777426661,50.83466094998647,-3.547964837185269,11.233,26.174998,1.9167599999999998,16.0,21672132608,Utilities,True,52.690283349644844
CNC,58.91999816894531,53.69260876714883,4433442.857142857,-4.783456444856327,-11.425133580359653,31.86548444663532,-7.227795509945205,-21.86,0.54699997,0.8351000000000001,21.5,23234056192,Healthcare,True,26.53393045480167
CNP,18.823429107666016,58.767646503768404,7018612.301587301,-17.850889124107788,11.55859102157142,39.313941255668816,-4.805504639569529,9.606,24.95,2.0211099999999997,7.1,25651195904,Utilities,True,52.234236531840864
COF,89.476806640625,72.57204266720437,3831630.9523809524,-4.263946329902872,60.521688809296535,57.28358948262075,13.066329881526666,1.6150000000000002,38.719,,67.9,151533617152,Financial Services,True,75.32017194681723
COP,33.41790008544922,72.78679371373528,9560083.333333334,-36.42408549998048,-2.0699857984016945,36.852371306894156,6.754244439601346,15.421000000000001,19.543,0.36168999999999996,14.000000000000002,123514150912,Energy,True,40.880302239845875
COST,354.29534912109375,29.237763976918647,2759551.587301587,32.94506373365434,26.193751112798108,50.25582541590965,1.4497569662454741,30.325000000000003,3.659,0.26968,8.3,424756510720,Consumer Defensive,True,62.78344946993628
CPB,39.859371185302734,32.32051151928761,2412821.8253968256,1.9484158662950994,-1.2355837145302546,58.14965755019324,-0.340381124988493,14.815000000000001,14.232,1.8456700000000001,-3.4000000000000004,8019810816,Consumer Defensive,True,38.04974322540053
CRM,219.730224609375,53.06032049588487,7529498.015873016,33.18161980000339,15.51445591191528,53.41041813332904,-7.217817886067725,12.184000000000001,23.862,0.19385000000000002,8.6,222173003776,Technology,True,64.1141176948054
CSCO,38.176109313964844,42.015252120867096,25068138.492063493,-5.673570490066525,-1.621176119701711,47.15451855010353,7.296542684064641,22.418,23.604,0.6322800000000001,7.5,297319858176,Technology,True,32.26427059384279
CSX,28.151708602905273,46.09246307333839,13323698.80952381,25.06322599100656,32.00045360725535,44.243404910677214,2.749252007442676,22.589001,35.071000000000005,1.55283,-0.8999999999999999,67673251840,Industrials,True,61.90611646416242
