Date,Cash,Positions_Value,Portfolio_Value,Return_%,Position_Count
2021-07-19,75397.27976703644,34602.72023296356,110000.0,0.0,4
2021-07-26,71281.86069889068,40806.33492355347,112088.19562244415,1.8983596567674117,5
2021-08-02,71281.86069889068,41439.214473724365,112721.07517261505,2.4737047023773164,5
2021-08-09,71281.86069889068,42815.13164138794,114096.99234027862,3.724538491162384,5
2021-08-16,11303.953384542474,102660.27091603278,113964.22430057525,3.6038402732502304,7
2021-08-23,11303.953384542474,99253.99385261536,110557.94723715783,0.5072247610525731,7
2021-08-30,11303.953384542474,105021.46062850952,116325.414013052,5.750376375501814,7
2021-09-06,11303.953384542474,107189.90089797974,118493.85428252221,7.721685711383827,7
2021-09-13,7140.612736806879,110741.80550102233,117882.41823782922,7.165834761662924,8
2021-09-20,7140.612736806879,112007.01300048828,119147.62573729517,8.31602339754106,8
2021-09-27,7140.612736806879,113559.48494911194,120700.09768591882,9.727361532653475,8
2021-10-04,10839.750637197503,106076.07306480408,116915.82370200158,6.287112456365074,7
2021-10-11,14678.475637197504,103482.75734329224,118161.23298048975,7.419302709536132,6
2021-10-18,14678.475637197504,109921.77527999878,124600.25091719629,13.272955379269352,6
2021-10-25,14678.475637197504,116439.82020568848,131118.29584288597,19.198450766259974,6
2021-11-01,10501.831972637185,140272.01900025367,150773.85097289085,37.067137248082595,7
2021-11-08,6385.906318264017,158904.31098075866,165290.21729902268,50.263833908202436,8
2021-11-15,9979.576606254586,141718.35333633423,151697.92994258882,37.907209038717106,7
2021-11-22,9979.576606254586,153455.2356338501,163434.8122401047,48.57710203645881,7
2021-11-29,9979.576606254586,146309.8080291748,156289.3846354294,42.081258759481265,7
2021-12-06,9979.576606254586,140611.026096344,150590.60270259858,36.90054791145326,7
2021-12-13,9979.576606254586,140582.06523513794,150561.64184139253,36.87421985581139,7
2021-12-20,9979.576606254586,130344.25213623047,140323.82874248506,27.56711703862278,7
2021-12-27,9979.576606254586,144105.7444381714,154085.32104442597,40.0775645858418,7
2022-01-03,9979.576606254586,142812.83512878418,152792.41173503877,38.90219248639888,7
2022-01-10,9979.576606254586,136697.104927063,146676.68153331758,33.342437757561434,7
2022-01-17,9979.576606254586,138882.45653152466,148862.03313777925,35.329121034344766,7
2022-01-24,13945.930395317086,119718.57287216187,133664.50326747895,21.51318478861723,6
2022-01-31,13945.930395317086,110382.81135177612,124328.74174709321,13.026128860993829,6
