ticker,target_pct,target_value
TSLA,0.5,71319
NVDA,0.1,14264
ASML,0.1,14264
AMD,0.1,14264
AVGO,0.1,14264
ALAB,0.05,7132
MRVL,0.05,7132
ARM,0.0,0
GOOG,0.0,0
MU,0.0,0
PLTR,0.0,0
TSM,0.0,0
