ticker,quantity,avg_cost,last_updated,min_quantity
TSLA,72,310.60,2026-01-04,0
NVDA,0,0.00,,0
ASML,0,0.00,,0
AMD,0,0.00,,0
AVGO,0,0.00,,0
ALAB,0,0.00,,0
MRVL,0,0.00,,0
ARM,0,0.00,,0
PLTR,0,0.00,,0
MU,0,0.00,,0
TSM,0,0.00,,0
GOOG,0,0.00,,0
BTC-USD,0.5,50090.10,2026-01-04,0.5
SOL-USD,0,0.00,,0
